experiment,training_samples,test_samples,mae,rmse,r2,pearson_r,spearman_rho
real_only,731,1096,17.003572861132245,21.948123103230007,0.9496475811962883,0.9747596582746092,0.9589232984905851
synthetic_only,1110,1096,19.82705916843066,25.551587714270315,0.9317564916300637,0.9665657342358737,0.9536883203108519
real_plus_synthetic_10,842,1096,16.89106041367422,21.837145735558902,0.9501554926457622,0.974881981934287,0.9600524427077899
real_plus_synthetic_25,1008,1096,16.78784618641606,21.814446154793046,0.950259064913558,0.9749410390833303,0.9604388671693708
real_plus_synthetic_50,1286,1096,16.832814206600517,21.86967150351939,0.9500068982930815,0.9748797921440054,0.9605429679778558
real_plus_synthetic_100,1841,1096,16.924940660176677,22.006828678687807,0.9493778614636496,0.9745375136775672,0.9602012701310401
