lag,real_acf,synth_acf,absolute_error,status
1,0.8844926779617306,0.9273533868717607,0.04286070891003013,PASS
2,0.8792130046671357,0.8373756572351543,0.04183734743198142,PASS
3,0.864914689064621,0.7447973008529952,0.12011738821162576,PASS
4,0.8641839281334166,0.6562943110597494,0.20788961707366715,WARNING
5,0.8435316781788998,0.5733882907996075,0.27014338737929233,WARNING
6,0.842542437795341,0.5040457533655435,0.3384966844297975,WARNING
7,0.8334849122718875,0.45151240771047657,0.3819725045614109,WARNING
8,0.8238325661293743,0.4119864931115015,0.4118460730178728,WARNING
9,0.8210182694691248,0.38260745400305046,0.43841081546607436,WARNING
10,0.8031805126716421,0.3622564225505757,0.4409240901210664,WARNING
11,0.8025125869447869,0.3423460019766788,0.4601665849681081,WARNING
12,0.8024244029839144,0.32086841277285766,0.4815559902110567,WARNING
13,0.795823877569477,0.3030474608096965,0.4927764167597805,WARNING
14,0.7942333827068266,0.2843821651459998,0.5098512175608269,WARNING
15,0.771727108804506,0.26082295330992117,0.5109041554945848,WARNING
16,0.7771634718638012,0.23395396360799248,0.5432095082558087,WARNING
17,0.7638360434912248,0.2131103248623776,0.5507257186288472,WARNING
18,0.7506090214463661,0.19081055069206387,0.5597984707543022,WARNING
19,0.7479649746878576,0.17094622006593138,0.5770187546219262,WARNING
20,0.7358106732099697,0.14793186756470722,0.5878788056452625,WARNING
21,0.7220331747730917,0.12970496722094643,0.5923282075521452,WARNING
22,0.7111135263288878,0.10939161428183854,0.6017219120470493,WARNING
23,0.7150098658481719,0.09094896704505415,0.6240608988031178,WARNING
24,0.689453612059825,0.07039391365451712,0.619059698405308,WARNING
25,0.6853953303883502,0.05509566612894272,0.6302996642594075,WARNING
26,0.6681824899764813,0.04111903763082337,0.627063452345658,WARNING
27,0.6729488423125979,0.027546959232880117,0.6454018830797178,WARNING
28,0.6501335469168814,0.015634982505102597,0.6344985644117788,WARNING
29,0.6385398036419325,0.0030701560797040473,0.6354696475622285,WARNING
30,0.6377104982291572,-0.00670522653460988,0.6444157247637671,WARNING
