feature,importance,rank
wind_speed_kmh_roll_max_14d,0.00037875073215948746,128
pm25_roll_min_30d,0.00035901420258471935,129
humidity_pct_roll_median_14d,0.0003573779762918967,130
humidity_pct_roll_min_3d,0.0003396575646545726,131
temperature_c_roll_mean_3d,0.0003377579453915519,132
humidity_pct_roll_max_14d,0.0003250221786747239,133
temperature_c_roll_max_3d,0.000324859732910431,134
pm10_roll_median_7d,0.0003222578346822177,135
temperature_c_roll_mean_14d,0.00028383276885269785,136
temperature_c_roll_median_3d,0.00028257293128214486,137
temperature_c_roll_mean_7d,0.0002651573609811745,138
wind_speed_kmh_roll_median_14d,0.00026430284333121,139
pm10_roll_min_14d,0.0002323320651971051,140
humidity_pct_roll_max_7d,0.00022874405618698884,141
temperature_c_roll_min_3d,0.0002286413571552461,142
temperature_c_roll_median_7d,0.00022306045551995308,143
temperature_c_roll_max_14d,0.00020913883988216765,144
precipitation_mm_lag_3d,0.00020143054252064492,145
temperature_c_roll_max_7d,0.00020070203333585646,146
precipitation_mm_lag_2d,0.0001709459914133305,147
humidity_pct_roll_min_14d,0.00016660514182793702,148
wind_speed_kmh_roll_min_30d,0.00015845994839402164,149
temperature_c_roll_mean_30d,0.00015370303618867043,150
quarter,0.00014970197806066067,151
precipitation_mm_lag_7d,0.00014234347614375923,152
temperature_c_roll_median_14d,0.0001381315756467483,153
week_of_year,0.0001378684124791705,154
wind_speed_kmh_roll_max_30d,0.00012415017288936033,155
temperature_c_roll_min_7d,0.00011854057438489825,156
traffic_activity_proxy,0.0001029101270162116,157
humidity_pct_roll_max_30d,0.00010181131343980119,158
temperature_c_roll_min_14d,9.783346187754562e-05,159
pm10_roll_min_30d,9.63522313514331e-05,160
temperature_c_roll_min_30d,9.27353312059034e-05,161
temperature_c_roll_median_30d,6.912887369053034e-05,162
is_weekend,5.190480331638916e-05,163
temperature_c_roll_max_30d,4.103729004439608e-05,164
month,3.352737092513227e-05,165
humidity_pct_roll_min_30d,3.332696953207531e-05,166
festival_window,2.33885141857262e-05,167
is_stubble_season,2.0922365491607774e-05,168
is_festival,2.062728801488909e-05,169
is_holiday,1.789661440201348e-05,170
is_post_monsoon,2.6865755848084635e-06,171
is_winter,2.415845881489831e-06,172
fire_hotspot_count_lag_2d,0.0,173
fire_hotspot_count_lag_7d,0.0,174
fire_hotspot_count_lag_14d,0.0,175
fire_hotspot_count_lag_3d,0.0,176
fire_hotspot_count_lag_1d,0.0,177
fire_hotspot_count_roll_median_7d,0.0,178
fire_hotspot_count_roll_mean_7d,0.0,179
fire_hotspot_count_roll_var_3d,0.0,180
fire_hotspot_count_roll_std_3d,0.0,181
fire_hotspot_count_roll_min_3d,0.0,182
fire_hotspot_count_roll_max_3d,0.0,183
fire_hotspot_count_roll_median_3d,0.0,184
fire_hotspot_count_roll_mean_3d,0.0,185
fire_hotspot_count_roll_min_14d,0.0,186
fire_hotspot_count_roll_max_14d,0.0,187
fire_hotspot_count_roll_median_14d,0.0,188
fire_hotspot_count_roll_mean_14d,0.0,189
fire_hotspot_count_roll_var_7d,0.0,190
fire_hotspot_count_roll_std_7d,0.0,191
fire_hotspot_count_roll_min_7d,0.0,192
fire_hotspot_count_roll_max_7d,0.0,193
fire_hotspot_count_roll_std_14d,0.0,194
fire_hotspot_count_roll_var_14d,0.0,195
fire_hotspot_count_roll_mean_30d,0.0,196
fire_hotspot_count_roll_median_30d,0.0,197
fire_hotspot_count_roll_max_30d,0.0,198
fire_hotspot_count_roll_min_30d,0.0,199
fire_hotspot_count_roll_std_30d,0.0,200
fire_hotspot_count_roll_var_30d,0.0,201
