trial_number,model_name,feature_set,hyperparameters,validation_score_mae,objective_function,random_seed,selected
3,XGBoost,Candidate_A_V2_Baseline,"{""max_depth"": 2, ""learning_rate"": 0.02, ""n_estimators"": 150, ""subsample"": 0.7, ""colsample_bytree"": 0.8, ""reg_alpha"": 2.0, ""reg_lambda"": 6.0}",28.5579,inner_temporal_val_mae_2023,42,False
4,XGBoost,Candidate_A_V2_Baseline,"{""max_depth"": 3, ""learning_rate"": 0.01, ""n_estimators"": 250, ""subsample"": 0.6, ""colsample_bytree"": 0.5, ""reg_alpha"": 10.0, ""reg_lambda"": 10.0}",29.439,inner_temporal_val_mae_2023,42,False
5,XGBoost,Candidate_A_V2_Baseline,"{""max_depth"": 4, ""learning_rate"": 0.02, ""n_estimators"": 100, ""subsample"": 0.8, ""colsample_bytree"": 0.6, ""reg_alpha"": 2.0, ""reg_lambda"": 5.0}",31.1045,inner_temporal_val_mae_2023,42,False
6,XGBoost,Candidate_A_V2_Baseline,"{""max_depth"": 2, ""learning_rate"": 0.05, ""n_estimators"": 150, ""subsample"": 0.7, ""colsample_bytree"": 0.6, ""reg_alpha"": 6.0, ""reg_lambda"": 6.0}",27.7927,inner_temporal_val_mae_2023,42,True
7,XGBoost,Candidate_A_V2_Baseline,"{""max_depth"": 2, ""learning_rate"": 0.05, ""n_estimators"": 250, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 6.0, ""reg_lambda"": 10.0}",27.8374,inner_temporal_val_mae_2023,42,False
8,XGBoost,Candidate_A_V2_Baseline,"{""max_depth"": 2, ""learning_rate"": 0.01, ""n_estimators"": 100, ""subsample"": 0.6, ""colsample_bytree"": 0.6, ""reg_alpha"": 3.0, ""reg_lambda"": 9.0}",42.7736,inner_temporal_val_mae_2023,42,False
9,XGBoost,Candidate_A_V2_Baseline,"{""max_depth"": 3, ""learning_rate"": 0.02, ""n_estimators"": 200, ""subsample"": 0.6, ""colsample_bytree"": 0.8, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0}",28.1443,inner_temporal_val_mae_2023,42,False
0,Ridge,Candidate_B_V3_Expanded,"{""alpha"": 0.1767016940294795}",20.305,inner_temporal_val_mae_2023,42,False
1,Ridge,Candidate_B_V3_Expanded,"{""alpha"": 506.1576888752306}",22.0262,inner_temporal_val_mae_2023,42,False
2,Ridge,Candidate_B_V3_Expanded,"{""alpha"": 24.658329458549105}",18.6537,inner_temporal_val_mae_2023,42,True
