augmentation_configuration,training_sample_count,synthetic_sample_count,test_sample_count,test_mae,test_rmse,test_r2,pearson_r,extreme_250_mae
real_only,731,0,1096,17.06886755109763,22.08282463561095,0.9490276319550556,0.9744571848842244,23.257022069808734
real_plus_10pct,7514,6783,1096,16.700914372255863,21.63859324030464,0.951057786262396,0.9752564204317679,21.777859465212682
real_plus_25pct,17690,16959,1096,16.767558708571453,21.627489813870017,0.9511080008802687,0.975248969087491,21.553246479245896
real_plus_50pct,34650,33919,1096,16.764949853978358,21.636093908476983,0.951069091596971,0.975248020681944,21.56769254024034
real_plus_full_scaled,68569,67838,1096,16.933347845176648,21.852897502019516,0.9500835581337634,0.974743126526268,21.51588665213307
