feature,group,v3_mean_abs_shap,v3_rank,v2_mean_abs_shap,v2_rank,rank_change,shap_diff,status
temperature_c_lag_7d,,0.0,999.0,0.0363899318857001,85.0,-914.0,-0.0363899318857001,DISAPPEARED
temperature_c_roll_max_14d,,0.0,999.0,0.0275821621284046,102.0,-897.0,-0.0275821621284046,DISAPPEARED
temperature_c_roll_max_30d,,0.0,999.0,0.0266889466832605,108.0,-891.0,-0.0266889466832605,DISAPPEARED
temperature_c_roll_max_3d,,0.0,999.0,0.0273783088261345,104.0,-895.0,-0.0273783088261345,DISAPPEARED
temperature_c_roll_max_7d,,0.0,999.0,0.029886464895079,96.0,-903.0,-0.029886464895079,DISAPPEARED
temperature_c_roll_mean_14d,,0.0,999.0,0.1115984777942529,31.0,-968.0,-0.1115984777942529,DISAPPEARED
temperature_c_roll_mean_30d,,0.0,999.0,0.0271237477861126,105.0,-894.0,-0.0271237477861126,DISAPPEARED
temperature_c_roll_mean_3d,meteorology,0.20482327728985197,21.0,0.0657406205028558,48.0,27.0,0.13908265678699616,SHIFTED
temperature_c_roll_mean_7d,,0.0,999.0,0.0192586619677968,128.0,-871.0,-0.0192586619677968,DISAPPEARED
temperature_c_roll_median_14d,,0.0,999.0,0.0143016897654096,138.0,-861.0,-0.0143016897654096,DISAPPEARED
temperature_c_roll_median_30d,,0.0,999.0,0.0240152880284731,115.0,-884.0,-0.0240152880284731,DISAPPEARED
temperature_c_roll_median_3d,,0.0,999.0,0.0274311985640722,103.0,-896.0,-0.0274311985640722,DISAPPEARED
temperature_c_roll_median_7d,,0.0,999.0,0.0104503838755178,143.0,-856.0,-0.0104503838755178,DISAPPEARED
temperature_c_roll_min_14d,,0.0,999.0,0.0225431078494711,118.0,-881.0,-0.0225431078494711,DISAPPEARED
temperature_c_roll_min_30d,,0.0,999.0,0.0453415335872782,68.0,-931.0,-0.0453415335872782,DISAPPEARED
temperature_c_roll_min_3d,meteorology,0.14321778995920234,28.0,0.0201923563179421,126.0,98.0,0.12302543364126024,SHIFTED
temperature_c_roll_min_7d,,0.0,999.0,0.0108850719601906,142.0,-857.0,-0.0108850719601906,DISAPPEARED
temperature_c_roll_std_14d,,0.0,999.0,0.0176415179041964,131.0,-868.0,-0.0176415179041964,DISAPPEARED
