date,year,actual_pm25,predicted_pm25,biomass_burning,calendar_seasonal,external_environmental,meteorology,pm25_persistence,wind_ventilation
2020-01-01,2020,294.84,312.53629398228935,0.3659264077683882,0.0,112.02150604595325,-1.3778490383740216,54.54215895896474,3.822019267114417
2020-01-02,2020,263.03,258.81361876871955,-0.11054978481007807,0.0,55.816173161192424,1.374915159028988,53.27810004129068,5.292447851155171
2020-01-03,2020,205.46,223.66536655279015,-0.7954994451086808,0.0,31.170850269078887,0.7333249933449381,44.69404321751965,4.700115177093147
2020-01-04,2020,263.24,235.25842235724514,0.9244580541819309,0.0,32.14430837258726,1.6562276247392027,48.717127665196145,8.653768299678376
2020-01-05,2020,218.68,216.1971578202217,0.5684176942892498,0.0,20.53745101636856,0.5142523068740288,44.51799504192862,6.896509419898795
2020-01-06,2020,220.28,200.96767478681116,0.4746861083550771,0.0,-11.243780675774998,1.1255628088315754,58.24955398257672,9.199120221960271
2020-01-07,2020,255.75,252.37244356922704,-0.1235089401560911,0.0,53.76251626156463,1.0069695857162155,49.572695977581375,4.991238343658478
2020-01-08,2020,293.11,253.02264864053996,0.7992802846657578,0.0,48.08216984109785,1.7452196370024955,53.28202541596602,5.951421120945376
2020-01-09,2020,199.65,221.67060580376238,-1.0740316205139016,0.0,29.579745732210245,1.0240831091384164,43.958884894460894,5.019391347604297
2020-01-10,2020,318.41,295.8623487192553,0.4225434330154285,0.0,88.71110133015114,2.1497917123811705,53.18009145011246,8.236288452733298
2020-01-11,2020,335.83,302.56265120373683,-0.2842849707195283,0.0,94.24797931566374,1.420594579107678,55.76347138189584,8.252358556927254
2020-01-12,2020,331.67,325.5176542121624,0.04642872618318879,0.0,116.44568941857763,0.2353429287464111,57.986165930986125,7.641494866807382
2020-01-13,2020,228.61,265.61167635217447,-0.7800359121869811,0.0,73.83847989895169,-0.39421490504403567,47.5205359346583,2.2643789949337587
2020-01-14,2020,369.9,364.53692745965833,0.09219369959482131,0.0,151.7280942506009,1.059543977700675,62.308266485734976,6.1862967051638025
2020-01-15,2020,248.59,226.59973370819407,-0.04076994865487654,0.0,24.126965839057846,1.627088095440681,49.06915959639886,8.654757785088908
2020-01-16,2020,279.82,260.5675409005299,0.14585521547339517,0.0,52.16834190352464,1.9330687064749275,56.77606695637686,6.381675777817315
2020-01-17,2020,333.87,324.5030269321782,-0.7511474715151804,0.0,115.88170517258374,1.204588478100668,57.55618387645642,7.4491645356909215
2020-01-18,2020,378.5,371.1717445461634,0.16208066118293074,0.0,153.19931307166328,1.673922461894795,64.17644334817227,8.797452662387432
2020-01-19,2020,190.64,189.39577793092897,-0.20819421007588823,0.0,-35.039361388322064,1.599636588311821,67.27045480971532,12.610709790437134
2020-01-20,2020,285.63,274.8410791139376,-0.01283536555601314,0.0,63.6400719978082,1.8422527218752454,59.305711406262176,6.903346012685109
2020-01-21,2020,216.31,244.79875134884358,-1.0904816219381888,0.0,52.117051659173285,1.2859929377136425,46.01781753221344,3.3058385008188362
2020-01-22,2020,271.73,284.0698267763652,-0.4655099479772494,0.0,81.97686206917314,1.694661473209516,51.27162497396599,6.429655867130883
2020-01-23,2020,347.3,356.3683647024804,-0.363400353053711,0.0,148.3255791698425,1.3682147523507675,59.746414134382945,4.1290246580955685
2020-01-24,2020,299.61,287.7909292794465,0.45934001090705373,0.0,85.83553969420265,0.7886150220307421,51.963380618777066,5.581521592667225
2020-01-25,2020,259.31,259.58192000332633,-0.21239179957585166,0.0,58.85909390897654,-0.05730362847220888,53.00592144017875,4.824067741356325
