group,benchmark_scenario,active_obs_count,directional_consistency_rate,v2_historical_benchmark,status
biomass_burning,biomass_low,206,0.9611650485436893,0.944,PASS
wind_ventilation,wind_stagnant,610,0.9426229508196722,0.944,PASS
