date,year,actual_pm25,predicted_pm25,base_value,pm25_lag_1d,pm25_lag_2d,pm25_lag_3d,pm25_lag_7d,pm25_roll_mean_3d,pm25_roll_mean_7d,pm25_roll_mean_14d,pm25_roll_std_7d,pm25_roll_max_7d,pm25_roll_min_7d,temperature_c_lag_1d,temperature_c_roll_mean_3d,temperature_c_roll_min_3d,humidity_pct_lag_1d,humidity_pct_roll_mean_3d,humidity_pct_roll_max_7d,wind_speed_kmh_lag_1d,wind_speed_kmh_roll_mean_3d,wind_u_component_1d,wind_v_component_1d,is_stubble_season,fire_hotspot_count_lag_1d,fire_hotspot_count_roll_mean_3d,fire_hotspot_count_roll_mean_7d,upwind_stubble_quadrant_1d,rainfall_1d,rainfall_3d,rain_event_1d,washout_index_3d,pblh_1d,pblh_min_1d,pblh_roll_mean_3d,ventilation_index_1d,aod_550_1d,festival_window
2020-01-01,2020,294.84,312.53629398228935,143.16253234086244,10.393691738967958,0.6646227702949533,0.27443836799487825,-0.1488713287957028,23.338527778024627,4.454785226835813,3.3120891676911164,-0.33294420579277506,4.425398788764152,8.160420654979738,-0.37811488927068115,-0.8442246120437693,-0.23321105543099985,-0.032435039945896624,0.30195219428009396,-0.1918156359627687,-0.21942253187989344,-0.0248499039397579,0.4483688167873229,-0.4130711667199399,0.000587504959591374,0.018023219786972248,-0.06702259102531595,0.3495766656768656,0.06476160837027488,0.002365431872204405,0.13187791913647234,-0.001021602323093585,0.06224326154263868,-0.051406350865822785,0.7019393015357586,3.537057614865442,-0.15659651266869257,111.82604103572503,0.0
2020-01-02,2020,263.03,258.81361876871955,143.16253234086244,9.358092659347772,1.0797250656316912,0.22294349493354382,0.1490903494562042,21.78009727133005,4.293204251571179,3.853047030401612,0.18848052951421967,3.778569434510156,8.574849954594244,0.17886915418213797,0.32846392930522916,0.18525406777918527,0.4128118688594359,0.28228155571471586,-0.012765416811715877,-0.0766820445292226,0.2589124254315009,-0.6752630252092159,-0.6549026601694702,0.0013548759750960854,-0.07865468225242535,-0.10368115009304452,0.20891535165969116,-0.13848418009939545,-0.006482525728434865,0.11494434836503802,-0.005466509719835745,0.11786757642528015,1.1416653703010247,1.3385246905767196,3.984361282986006,-0.024168188232171844,55.59531027185037,0.0
2020-01-03,2020,205.46,223.66536655279015,143.16253234086244,9.000791343927762,0.5560306959526516,0.27690227019321156,-0.10764642200458018,19.96739076100197,2.966799167149313,2.1698428380318933,-0.2624708199620561,3.6713037094412444,6.455099673788244,-0.016054634078503292,0.057704194026815786,0.4876613117780717,-0.010622861769313197,0.3808860062657822,-0.16624902287791518,-0.12158867870620109,0.1708731702621027,0.24751690873356957,0.06586539213892197,0.0011096423172200483,-0.4503347175139139,-0.2858273202917532,-0.19665056818187374,0.13620351856163998,-0.01767705675561258,0.23220834065150422,-0.01429592484262873,0.14908051295911978,1.0153718153330877,-0.4458371847622142,3.6655342424285062,0.10237951166537444,30.821534397066504,0.0
2020-01-04,2020,263.24,235.25842235724514,143.16253234086244,8.895736014780399,0.9007786734691272,0.5514973574261981,0.16319780221983055,20.58772632589883,3.5841464590421537,2.3176991467662442,0.18514780887931154,4.037885147315774,7.493312929398272,0.2610998616642266,0.15418720327208327,0.8883239236323512,0.09622172009412723,0.35239748443235924,-0.09600256835594481,0.18214749038288142,0.3482095418490304,0.4880659465783277,0.14746776244109494,0.0003867039556731387,0.3541089182542395,0.20038798650243492,0.11495459353264172,0.2546198519369417,-0.00644803726020053,0.22335657688009378,-0.013400106725853872,0.14752596648461377,1.6467317877715049,1.736122729816075,3.882134756827442,0.22288828401202004,31.793273973208606,0.0
2020-01-05,2020,218.68,216.1971578202217,143.16253234086244,9.374716403959924,-0.6089923047325011,0.24132863243840372,-0.06440970941216388,19.266396275511884,3.000438065490901,2.4721999669530357,-0.13318724020873782,3.9526466528542685,7.016858299073614,0.12745809626028484,0.13719085908015083,0.0788039772132843,-0.0010794219124712703,0.3068839278687008,-0.13500513163592065,-0.042475917807048534,0.2287550148532386,-0.11600911862315079,0.016715730848800344,0.001391814120211007,0.24114982987446823,0.3426157718339653,0.10025426702248463,-0.1169939885618794,-0.007687567549492759,0.1851109838551728,-0.01602514200990366,0.1451554349188889,1.6307220971240648,1.2080045367684131,3.7893020462945106,0.18149503043996704,20.230897307153896,0.0
2020-01-06,2020,220.28,200.96767478681116,143.16253234086244,12.276503709948763,0.6666112129120757,0.11137735103224922,0.3357099271716826,25.22327311388346,3.8183775740924966,2.712163959705985,0.05791173883526129,5.556104095424093,7.4915212995706595,0.1683484766044909,0.2907308824956265,0.17756919816769756,0.1096931381744502,0.36751292364280636,0.01170818974650399,0.20250039969909678,1.0329879364393222,0.5384204930424846,0.024013201190692977,0.009938140152098792,0.04950334109117506,-0.09670645973463696,0.15030581300836776,0.36164527383807243,-0.0016586438666939618,0.19218144360911205,-0.007706524172656193,0.18233438527208481,0.25856168179727734,0.9704941731490262,5.8327398331150455,0.3394025035273244,-11.608931336616845,0.0
2020-01-07,2020,255.75,252.37244356922704,143.16253234086244,9.513326827292014,-0.744993919583391,0.21429708655117838,0.2900140582895889,22.63489105420522,3.1743499786391345,1.2937740098758566,0.17260266349003467,4.077829105756778,8.946605113064972,0.2139682562169669,0.13751408778130508,0.07361998849273983,0.2860998078787487,0.2691986270644048,0.0265688182820501,-0.1279645790645242,0.42458623330164147,-0.4749368933579874,-0.8307902670227494,0.0013100299070179324,-0.0912318416572464,0.018677309912327016,0.050332546582725145,-0.10259698490091479,0.061469965979616806,0.11867499691403352,0.06248097756234863,0.07535678669122305,1.374892129730647,0.9806851170309293,3.696894145191166,-0.05212754215064614,53.4445335344174,0.0
2020-01-08,2020,293.11,253.02264864053996,143.16253234086244,10.003974794924629,0.016199352555868678,0.6660913514555041,0.43099596330818685,22.274119917227917,3.571133739338825,2.6399709066123895,0.07519207897734935,4.008201023011057,9.596146288554284,0.3726843306264147,0.1574826934113186,0.1349715784641386,0.39492970234897,0.5582018703068776,0.12694946184477593,0.3068550213261112,0.2952841814134301,0.18383212661913118,0.34908922208488485,-0.00045635942261120594,0.1371059412711513,0.3463321544380126,0.14233748610898675,0.1739610622702184,-0.0025816294790842777,-0.03812936871111435,-0.0023284870968420246,0.13021111249118,1.3867409223933043,-0.43530433041653654,3.792983391975629,0.0719405855494219,47.99499821389371,0.0
2020-01-09,2020,199.65,221.67060580376238,143.16253234086244,9.071233022104812,0.08085977788519512,0.26907562991253275,-0.3099568758078241,20.01599908674262,2.9288375902285746,1.9388996616449563,-0.2975422417568661,3.429538738444646,6.831940505062246,-0.006507274221642179,0.0635371611113779,-0.012757161345274274,0.09427008543611329,0.3976032122651453,0.48793708589269635,-0.01886457368924405,0.06755298418498537,-0.24746521835912044,-0.21037986391464844,0.005682960849493589,-0.2032940094223628,-0.3382650866493547,-0.11348508970513776,-0.4246703955865399,-0.01315820369923863,-0.35246942736524556,-0.014714799466762657,-0.2857977684432712,1.300299468541004,0.6089437732740617,3.6247988956262387,-0.10549411805897933,30.245885931184763,0.0
2020-01-10,2020,318.41,295.8623487192553,143.16253234086244,9.306593429283422,0.6949545377165547,0.680786268104426,0.021049477982213995,22.385754245838303,3.61369662206331,3.0465828936395827,0.7162485105955627,4.2527778903696145,8.461647574519466,-0.17287845739007962,0.08754163662682751,0.23197646258547616,0.07196306081524705,1.514761673167604,0.4164273365760953,0.20953234585655559,-0.0005216765967469931,-0.015788976118869417,1.3058821215754444,-0.0015448837530297015,-0.08463269271272118,0.20583747913719228,-0.01509584506679405,0.3179793754107812,-0.0008806702234290914,0.1825130465701342,-0.0022285730512730663,0.10548628374020745,2.0417625597867337,1.0917333974551109,3.568889285845013,0.03479939493005731,88.4262112431155,0.0
