reference_metric,population_description,baseline_value_ugm3,combined_biomass_wind_pred_ugm3,combined_biomass_wind_delta_ugm3,combined_all_favorable_pred_ugm3,combined_all_favorable_delta_ugm3,documentation_status,production_applicability
Historical 104.28 Baseline Reference,Historical summer/annual transitional reference subset,104.28,91.5,-12.78,85.2,-19.08,DOCUMENTED_AS_HISTORICAL_REFERENCE,DO_NOT_CONFUSE_WITH_FULL_POPULATION
Authoritative Full Dataset v3 Production Population,"All 1,827 daily observations from 2020-01-01 through 2024-12-31",143.0217,137.9227,-5.099,137.5697,-5.452,AUTHORITATIVE_PRODUCTION_BASELINE,OFFICIAL_RELEASE_STANDARD
