method,season,count,coverage_90pct,coverage_error,mean_width_ugm3,winkler_score
standard_conformal,Winter,271,0.8265682656826568,-0.07343173431734318,72.23174386469802,120.65387655346497
standard_conformal,Summer,276,0.9782608695652174,0.07826086956521738,72.24253585125834,77.96438069427343
standard_conformal,Monsoon,366,0.9863387978142076,0.08633879781420761,72.24249225554165,75.11929996343612
standard_conformal,Post-Monsoon,183,0.7923497267759563,-0.10765027322404375,72.24253585125834,134.98239925197342
time_aware_conformal,Winter,271,0.8265682656826568,-0.07343173431734318,72.23174386469802,120.65387655346497
time_aware_conformal,Summer,276,0.9782608695652174,0.07826086956521738,72.24253585125834,77.96438069427343
time_aware_conformal,Monsoon,366,0.9863387978142076,0.08633879781420761,72.24249225554165,75.11929996343612
time_aware_conformal,Post-Monsoon,183,0.7923497267759563,-0.10765027322404375,72.24253585125834,134.98239925197342
regime_conditioned_conformal,Winter,271,0.9077490774907749,0.007749077490774914,96.52850682675148,116.46813673197269
regime_conditioned_conformal,Summer,276,0.9311594202898551,0.031159420289855078,64.76767401841592,76.20037083630451
regime_conditioned_conformal,Monsoon,366,0.9153005464480874,0.015300546448087426,47.109110499856705,58.297020734262276
regime_conditioned_conformal,Post-Monsoon,183,0.8688524590163934,-0.031147540983606614,93.75750439168317,127.56710563316703
normalized_conformal,Winter,271,0.8819188191881919,-0.018081180811808095,89.54723463077286,116.07479979363093
normalized_conformal,Summer,276,0.9166666666666666,0.016666666666666607,63.75723510082434,75.80548906777648
normalized_conformal,Monsoon,366,0.9180327868852459,0.0180327868852459,47.50045708891853,57.948211984499075
normalized_conformal,Post-Monsoon,183,0.8524590163934426,-0.04754098360655745,88.11107335680846,126.23632230870604
ensemble_scaled_conformal,Winter,271,0.8302583025830258,-0.06974169741697422,93.46603838992625,147.23890981604646
ensemble_scaled_conformal,Summer,276,0.7355072463768116,-0.16449275362318838,50.77552356326061,103.42904158366358
ensemble_scaled_conformal,Monsoon,366,0.7404371584699454,-0.15956284153005462,45.59639618005603,77.6161819808552
ensemble_scaled_conformal,Post-Monsoon,183,0.8579234972677595,-0.042076502732240506,106.19777580812816,145.28406068117954
ensemble_regime_conformal_hybrid,Winter,271,0.8745387453874539,-0.025461254612546114,88.75821434070174,125.76976798737196
ensemble_regime_conformal_hybrid,Summer,276,0.8659420289855072,-0.034057971014492816,55.53267351188665,77.337894754167
ensemble_regime_conformal_hybrid,Monsoon,366,0.8715846994535519,-0.02841530054644814,45.59562133129665,58.693611167007724
ensemble_regime_conformal_hybrid,Post-Monsoon,183,0.8524590163934426,-0.04754098360655745,94.85708186890118,127.71142098832756
