method,nominal_coverage,sample_count,empirical_coverage,coverage_error,mean_width_ugm3,median_width_ugm3,winkler_interval_score,extreme_150_coverage,extreme_250_coverage,under_coverage_count,over_coverage_count
standard_conformal,0.8,1096,0.8102189781021898,0.010218978102189746,51.8131060087913,51.977148828826955,77.71986335832027,0.6733668341708543,0.6178010471204188,113,95
standard_conformal,0.9,1096,0.9124087591240876,0.012408759124087565,72.23985283630383,72.78212221828232,97.09015736070914,0.821608040201005,0.7801047120418848,47,49
standard_conformal,0.95,1096,0.9543795620437956,0.004379562043795637,94.77840803360505,95.28038110747266,115.25589008064854,0.9095477386934674,0.8900523560209425,27,23
time_aware_conformal,0.8,1096,0.8102189781021898,0.010218978102189746,51.8131060087913,51.977148828826955,77.71986335832027,0.6733668341708543,0.6178010471204188,113,95
time_aware_conformal,0.9,1096,0.9124087591240876,0.012408759124087565,72.23985283630383,72.78212221828232,97.09015736070914,0.821608040201005,0.7801047120418848,47,49
time_aware_conformal,0.95,1096,0.9543795620437956,0.004379562043795637,94.77840803360505,95.28038110747266,115.25589008064854,0.9095477386934674,0.8900523560209425,27,23
regime_conditioned_conformal,0.8,1096,0.8120437956204379,0.012043795620437892,53.77528209417378,45.20038527626997,73.58903632378481,0.8266331658291457,0.8324607329842932,141,65
regime_conditioned_conformal,0.9,1096,0.9096715328467153,0.009671532846715292,71.56447183007117,61.391112272039805,88.75516179269543,0.9195979899497487,0.9424083769633508,74,25
regime_conditioned_conformal,0.95,1096,0.958941605839416,0.008941605839416056,87.55804918783825,74.62757784208287,104.41845840499886,0.9623115577889447,0.9842931937172775,35,10
normalized_conformal,0.8,1096,0.8065693430656934,0.006569343065693345,53.2053761444736,46.23330443502863,73.55576676834177,0.8065326633165829,0.7853403141361257,143,69
normalized_conformal,0.9,1096,0.8978102189781022,-0.0021897810218978186,68.77170729161232,60.24224161343963,88.21977946678847,0.8944723618090452,0.8900523560209425,83,29
normalized_conformal,0.95,1096,0.9571167883211679,0.007116788321167911,85.19853859401019,73.46497969874468,103.00662852398634,0.9547738693467337,0.9685863874345549,35,12
ensemble_scaled_conformal,0.8,1096,0.666970802919708,-0.13302919708029204,53.45707956249422,40.977537562786424,87.07509064642161,0.7512562814070352,0.743455497382199,202,163
ensemble_scaled_conformal,0.9,1096,0.781021897810219,-0.118978102189781,68.85567051269882,52.5898008762512,112.63016947708815,0.8542713567839196,0.8638743455497382,139,101
ensemble_scaled_conformal,0.95,1096,0.843978102189781,-0.10602189781021898,84.89152264110342,65.21096864515812,143.50055831696605,0.8994974874371859,0.900523560209424,98,73
ensemble_regime_conformal_hybrid,0.8,1096,0.7326642335766423,-0.0673357664233577,49.61149750359896,45.37468010168595,75.85976629651718,0.7889447236180904,0.7696335078534031,179,114
ensemble_regime_conformal_hybrid,0.9,1096,0.8677007299270073,-0.032299270072992714,66.99574577087078,61.32703090931766,91.49810018678528,0.8819095477386935,0.8743455497382199,97,48
ensemble_regime_conformal_hybrid,0.95,1096,0.9333941605839416,-0.01660583941605831,86.12156148344079,78.53295578453091,104.77798294188382,0.9396984924623115,0.9528795811518325,52,21
phase6a_global_empirical,0.8,1096,0.8074817518248175,0.007481751824817473,51.97974295311687,52.31862857241279,77.7333638859006,,,99,112
phase6a_global_empirical,0.9,1096,0.9023722627737226,0.0023722627737226,69.04284426016594,69.53924910963214,96.74305249103053,,,53,54
phase6a_global_empirical,0.95,1096,0.9607664233576643,0.010766423357664312,101.5588461287492,109.14510762630067,114.95465259722471,,,18,25
phase6b_bootstrap_ensemble,0.8,1096,0.20255474452554745,-0.5974452554744526,12.990247469915918,11.770947004694541,126.38428646192686,0.22613065326633167,0.20418848167539266,463,411
phase6b_bootstrap_ensemble,0.9,1096,0.2545620437956204,-0.6454379562043796,16.361091802650638,14.928766986664627,219.03632108295358,0.3015075376884422,0.28272251308900526,440,377
phase6b_bootstrap_ensemble,0.95,1096,0.2956204379562044,-0.6543795620437955,18.915029153956027,17.39302339097975,389.88385780537504,0.34673366834170855,0.33507853403141363,415,357
