method,year,count,coverage_90pct,coverage_error,mean_width_ugm3,winkler_score
standard_conformal,2022,365,0.9068493150684932,0.006849315068493178,74.62753412692587,107.25553640448263
standard_conformal,2023,365,0.9397260273972603,0.03972602739726028,72.78212221828231,87.28990531051386
standard_conformal,2024,366,0.8907103825136612,-0.00928961748633883,69.31790749340985,96.72602798186752
time_aware_conformal,2022,365,0.9068493150684932,0.006849315068493178,74.62753412692587,107.25553640448263
time_aware_conformal,2023,365,0.9397260273972603,0.03972602739726028,72.78212221828231,87.28990531051386
time_aware_conformal,2024,366,0.8907103825136612,-0.00928961748633883,69.31790749340985,96.72602798186752
regime_conditioned_conformal,2022,365,0.8958904109589041,-0.004109589041095929,74.44577581250154,94.27905073441893
regime_conditioned_conformal,2023,365,0.9315068493150684,0.03150684931506842,72.81822969324446,84.64067797485006
regime_conditioned_conformal,2024,366,0.9016393442622951,0.0016393442622950616,67.44070796765224,87.34960750248914
normalized_conformal,2022,365,0.8794520547945206,-0.020547945205479423,70.32798888687942,95.25091051336099
normalized_conformal,2023,365,0.9287671232876712,0.02876712328767117,69.97839204522693,82.03764553447583
normalized_conformal,2024,366,0.8852459016393442,-0.014754098360655776,66.01629003111553,87.37310201677518
ensemble_scaled_conformal,2022,365,0.7643835616438356,-0.13561643835616444,70.55075856678836,123.50977688102027
ensemble_scaled_conformal,2023,365,0.7972602739726027,-0.10273972602739734,70.47646904337788,110.72581088549927
ensemble_scaled_conformal,2024,366,0.7814207650273224,-0.11857923497267764,65.54884372734213,103.67944320248354
ensemble_regime_conformal_hybrid,2022,365,0.8602739726027397,-0.03972602739726028,69.09553938902025,100.99114025642503
ensemble_regime_conformal_hybrid,2023,365,0.8931506849315068,-0.006849315068493178,68.24648412530107,86.3062975711519
ensemble_regime_conformal_hybrid,2024,366,0.8497267759562842,-0.050273224043715814,63.6543682572325,87.2086147476806
