method,pollution_regime,count,coverage_90pct,coverage_error,mean_width_ugm3,winkler_score
standard_conformal,Low,245,0.9836734693877551,0.0836734693877551,72.24687551126544,75.3999045555595
standard_conformal,Moderate,330,0.9606060606060606,0.06060606060606055,72.23272519003973,81.09265806700985
standard_conformal,High,330,0.8878787878787879,-0.012121212121212088,72.22781985943043,112.93601413119607
standard_conformal,Extreme,191,0.7801047120418848,-0.11989528795811522,72.26394943457491,125.17473311946176
time_aware_conformal,Low,245,0.9836734693877551,0.0836734693877551,72.24687551126544,75.3999045555595
time_aware_conformal,Moderate,330,0.9606060606060606,0.06060606060606055,72.23272519003973,81.09265806700985
time_aware_conformal,High,330,0.8878787878787879,-0.012121212121212088,72.22781985943043,112.93601413119607
time_aware_conformal,Extreme,191,0.7801047120418848,-0.11989528795811522,72.26394943457491,125.17473311946176
regime_conditioned_conformal,Low,245,0.8938775510204081,-0.00612244897959191,38.53002728030519,52.93431610932594
regime_conditioned_conformal,Moderate,330,0.9,0.0,58.93303618108093,76.17876628922093
regime_conditioned_conformal,High,330,0.9121212121212121,0.012121212121212088,87.42360119106652,112.58562052897746
regime_conditioned_conformal,Extreme,191,0.9424083769633508,0.04240837696335076,108.36185397525963,115.2591739686067
normalized_conformal,Low,245,0.9020408163265307,0.0020408163265306367,39.71329237580396,52.88103262699925
normalized_conformal,Moderate,330,0.8848484848484849,-0.015151515151515138,57.93751914633126,76.16373755446054
normalized_conformal,High,330,0.9121212121212121,0.012121212121212088,86.0311812526142,112.44282559927636
normalized_conformal,Extreme,191,0.8900523560209425,-0.009947643979057563,94.94431114074932,112.52806000655579
ensemble_scaled_conformal,Low,245,0.7428571428571429,-0.15714285714285714,39.89123224398127,67.84003896219035
ensemble_scaled_conformal,Moderate,330,0.7212121212121212,-0.17878787878787883,49.3700191799144,102.21893105443671
ensemble_scaled_conformal,High,330,0.8212121212121212,-0.07878787878787885,88.24966366158056,133.8917926965923
ensemble_scaled_conformal,Extreme,191,0.8638743455497382,-0.036125654450261835,106.16736986622595,151.3367401220544
ensemble_regime_conformal_hybrid,Low,245,0.8571428571428571,-0.04285714285714293,39.22154508325533,53.02951392444444
ensemble_regime_conformal_hybrid,Moderate,330,0.8393939393939394,-0.06060606060606066,52.03833952024565,79.40668415325521
ensemble_regime_conformal_hybrid,High,330,0.9,0.0,84.84324805689276,113.12401588382303
ensemble_regime_conformal_hybrid,Extreme,191,0.8743455497382199,-0.02565445026178015,97.62897863361853,124.3694025182825
