subset_category,subset_name,count,mean_residual,median_residual,std_residual,mad_residual,mae_ugm3,medae_ugm3,rmse_ugm3,min_residual,max_residual,q01,q05,q10,q25,q50,q75,q90,q95,q99,skewness,kurtosis,normality_p_value,gaussian_assumption_valid
Global,Overall_Out_of_Sample,1096,-1.0159209640404865,-1.8228851767156584,21.868094932866633,13.747329055182686,17.016798758055884,13.850666984180243,21.881712573347095,-79.10778299019822,102.8161479125987,-57.16604445649714,-34.220924521610435,-26.38795056256898,-14.599538070138173,-1.8228851767156584,12.724426892203592,24.561900825108772,34.56769458392819,56.3568689783234,0.13110121585611334,1.0476738399721173,1.0527644682610174e-06,False
Year,Year_2022,365,-2.21377000557168,-2.6994612298522043,23.3583531256927,14.46268988041064,17.98622924917556,14.116879526267951,23.431146134464004,-75.06642015043033,71.37729017918079,-61.289927815377126,-34.76624761033906,-28.196573709073164,-15.53485139140787,-2.6994612298522043,12.210361209397831,24.122054863339628,34.77300149929309,61.183997061915576,0.07636233715782306,0.910251931947339,0.0175363524262666,False
Year,Year_2023,365,-0.057699254530154565,0.24928259234304306,20.435685557044778,13.33771723209906,16.059775520719597,13.189523558337015,20.4077538341924,-58.94790311049154,102.8161479125987,-50.60454310503605,-31.901780521673572,-24.45065468438101,-13.833314510268977,0.24928259234304306,12.864772028233162,25.24321290751314,33.04958090161851,45.019774925479474,0.23420802731057097,1.398245682804716,0.0002223271948826185,False
Year,Year_2024,366,-0.7769483515060199,-1.9106189228777026,21.71726303078038,13.827780676944265,17.004425403873007,14.03646435091617,21.701486809394655,-79.10778299019822,73.55597154900866,-53.516615245725454,-34.27011966275278,-24.870938816765467,-14.259898670002258,-1.9106189228777026,12.961661366926446,24.096070805123972,38.54520572594533,53.43206248746957,0.15369773806151138,0.7966765949282943,0.0190190817671978,False
Season,Winter,271,2.199212293339561,1.7942693056249368,26.941551676124462,17.621349295309955,21.24884772364449,17.330838686396305,26.981574054373553,-79.10778299019822,73.55597154900866,-62.17494262903347,-39.35977628256028,-31.499107695129794,-14.03311345173546,1.7942693056249368,20.958667758527582,37.539515926252506,46.37470442595982,60.988535930965426,-0.08804437747742422,0.1050840552527279,0.7120301322229996,True
Season,Summer,276,-2.779496678781661,-2.8791721711462372,17.669969851661325,12.09734681446016,14.57222189382719,12.391791622407546,17.85559229137579,-60.01652689712219,35.135956573785705,-49.00424348916143,-32.16680272186075,-26.034807425237524,-14.404109682980977,-2.8791721711462372,9.926083936337502,20.933825030919678,24.248771843303697,29.727883337780984,-0.289312899359191,-0.12877473088742253,0.1369673752422674,True
Season,Monsoon,366,-2.753876802312425,-3.3938738920731524,14.594807388328709,10.69123701081867,12.250552392778117,11.643389365055627,14.83274249670002,-55.22993099424179,33.992148301192,-39.91099546755993,-25.055604162570017,-19.71134882660038,-12.812474917223224,-3.3938738920731524,9.305166724738234,15.020046581832517,18.717303729693768,27.05907019276667,-0.18608332984795503,-0.003424644427937551,0.33461920343800106,True
Season,Post-Monsoon,183,0.35860155686717077,0.3782741909599565,29.551909122767178,20.872430349702228,23.96906167906284,20.584918310453958,29.47323723216611,-68.51063182234844,102.8161479125987,-56.676366324929035,-49.96833744017559,-34.27535528555316,-21.69693581584609,0.3782741909599565,18.853028251930482,38.34579255857452,46.9850067033605,71.49167113953915,0.19671986986394874,0.08406360969222781,0.4762290844225674,True
Pollution_Regime,Low,245,-4.9982912071119845,-6.047685574868197,12.39977408198524,8.711972674481537,10.859975360197945,10.354521721020113,13.345776234706571,-55.22993099424179,21.31863784902196,-40.36828436476137,-22.66804767621317,-19.204247003357512,-13.26990195142934,-6.047685574868197,4.686773375464874,11.576740999937735,13.262333837341616,18.59489761862128,-0.36784638961923116,0.6039375880827444,0.0125028568117212,False
Pollution_Regime,Moderate,330,-6.1583542694131514,-5.913167806084019,17.38345525658091,12.126315212700518,14.835953786810492,12.912219448602833,18.417223821971966,-60.01652689712219,33.32118120132253,-54.24526830333583,-33.7054592490311,-28.80143840842454,-17.322661028944715,-5.913167806084019,7.104047255534777,15.762002014940743,20.487097373645405,24.63342872943153,-0.3534450409702322,-0.1076732456938374,0.03263737558699244,False
Pollution_Regime,High,330,1.0758129322713526,3.299297760736536,25.416400174196003,16.547741706660005,19.99330563573243,16.571755089233946,25.400653840583686,-79.10778299019822,102.8161479125987,-63.29567527855096,-41.00437294174544,-28.9547637209427,-14.978892884235762,3.299297760736536,17.632604086434775,28.333800121879293,35.829334202045125,65.26387269517168,-0.09855080087377317,0.9638800180234988,0.016157632944943334,False
Pollution_Regime,Extreme,191,9.36319691314585,11.661689849355412,27.100734489042452,17.436139414947263,23.539590922207292,20.71598601928173,28.605488622244803,-58.16504590385699,72.01273995894942,-55.162030089729406,-36.2418528412677,-28.594012958951907,-7.973432342318176,11.661689849355412,26.82849999259723,43.507174554681285,51.320261373066955,63.44345332459751,-0.2757837372776309,-0.2781649171419551,0.2231839184848484,True
Extreme_Episodes,Extreme_Episodes_ge_150,398,4.6871846240157,5.388765272876725,27.192842204599373,18.547462202426658,22.064911455665285,18.590732581501214,27.560160569465,-79.10778299019822,102.8161479125987,-58.25769605094942,-38.44931026744574,-28.974417771669696,-14.04197689550901,5.388765272876725,22.706080386979757,38.940468897452625,47.82935035029797,67.57475440473074,0.0023044202156455224,0.17498859367802444,0.6959300718839166,True
Severe_Episodes,Severe_Episodes_ge_250,191,9.36319691314585,11.661689849355412,27.100734489042452,17.436139414947263,23.539590922207292,20.71598601928173,28.605488622244803,-58.16504590385699,72.01273995894942,-55.162030089729406,-36.2418528412677,-28.594012958951907,-7.973432342318176,11.661689849355412,26.82849999259723,43.507174554681285,51.320261373066955,63.44345332459751,-0.2757837372776309,-0.2781649171419551,0.2231839184848484,True
