method,nominal_coverage,dimension,slice_name,sample_count,empirical_coverage,coverage_error,mean_width_ugm3,median_width_ugm3,winkler_interval_score
empirical_residual_global,0.8,Global,Overall_All_Folds,1096,0.8074817518248175,0.007481751824817473,51.97974295311687,52.31862857241279,77.73336388590059
empirical_residual_global,0.8,Year,2022,365,0.7972602739726027,-0.00273972602739736,52.318628572412784,52.31862857241279,83.82539854828383
empirical_residual_global,0.8,Year,2023,365,0.8164383561643835,0.016438356164383494,52.318628572412784,52.31862857241279,71.69163605091356
empirical_residual_global,0.8,Year,2024,366,0.8087431693989071,0.008743169398907069,51.303823548510245,51.30382354851025,77.68319450885251
empirical_residual_global,0.8,Season,Winter,271,0.6568265682656826,-0.1431734317343174,51.97786378578868,52.31862857241276,101.69354545496789
empirical_residual_global,0.8,Season,Summer,276,0.8659420289855072,0.06594202898550716,51.98036023111194,52.31862857241279,61.07546664252141
empirical_residual_global,0.8,Season,Monsoon,366,0.9453551912568307,0.1453551912568306,51.98036023111194,52.31862857241279,56.15997844961915
empirical_residual_global,0.8,Season,Post-Monsoon,183,0.6666666666666666,-0.13333333333333341,51.98036023111194,52.31862857241279,110.52150325002317
empirical_residual_global,0.8,Pollution_Regime,Low,245,0.9795918367346939,0.1795918367346938,51.98312160532664,52.31862857241279,55.07249688411992
empirical_residual_global,0.8,Pollution_Regime,Moderate,330,0.8757575757575757,0.07575757575757569,51.97420989763374,52.31862857241279,62.918788477960796
empirical_residual_global,0.8,Pollution_Regime,High,330,0.7363636363636363,-0.06363636363636371,51.97113473089465,52.31862857241279,89.89952711029053
empirical_residual_global,0.8,Pollution_Regime,Extreme,191,0.5916230366492147,-0.20837696335078537,51.99984165390936,52.31862857241276,111.3767588388206
empirical_residual_global,0.8,Extreme_Subset,Extreme_Episodes_ge_150,398,0.6633165829145728,-0.1366834170854272,51.98460983338958,52.31862857241276,103.61385949666413
empirical_residual_global,0.9,Global,Overall_All_Folds,1096,0.9023722627737226,0.0023722627737226,69.04284426016594,69.53924910963215,96.74305249103053
empirical_residual_global,0.9,Year,2022,365,0.8958904109589041,-0.004109589041095929,69.53924910963214,69.53924910963215,107.12440490031089
empirical_residual_global,0.9,Year,2023,365,0.9260273972602739,0.02602739726027392,69.53924910963214,69.53924910963215,86.21870188231168
empirical_residual_global,0.9,Year,2024,366,0.8852459016393442,-0.014754098360655776,68.05274715603935,68.05274715603937,96.88565998500603
empirical_residual_global,0.9,Season,Winter,271,0.8044280442804428,-0.09557195571955723,69.04009162706039,69.53924910963212,123.42618714027124
empirical_residual_global,0.9,Season,Summer,276,0.9710144927536232,0.07101449275362315,69.04374845843455,69.53924910963215,75.5091505379436
empirical_residual_global,0.9,Season,Monsoon,366,0.9863387978142076,0.08633879781420761,69.04374845843454,69.53924910963215,72.22624698278557
empirical_residual_global,0.9,Season,Post-Monsoon,183,0.7759562841530054,-0.12404371584699458,69.04374845843454,69.53924910963215,138.2871960163061
empirical_residual_global,0.9,Pollution_Regime,Low,245,0.9836734693877551,0.0836734693877551,69.04779336170964,69.53924910963214,72.61879896904628
empirical_residual_global,0.9,Pollution_Regime,Moderate,330,0.9575757575757575,0.0575757575757575,69.0347393556855,69.53924910963215,79.01671751052622
empirical_residual_global,0.9,Pollution_Regime,High,330,0.8696969696969697,-0.030303030303030276,69.03023480431098,69.53924910963215,113.17237382105408
empirical_residual_global,0.9,Pollution_Regime,Extreme,191,0.7591623036649214,-0.1408376963350786,69.07228514515272,69.53924910963212,129.92868923210276
empirical_residual_global,0.9,Extreme_Subset,Extreme_Episodes_ge_150,398,0.7989949748743719,-0.10100502512562815,69.04997334098728,69.53924910963212,125.65287923067201
empirical_residual_global,0.95,Global,Overall_All_Folds,1096,0.9607664233576643,0.010766423357664312,101.5588461287492,109.1451076263007,114.95465259722471
empirical_residual_global,0.95,Year,2022,365,0.9452054794520548,-0.004794520547945158,106.78505188934137,109.14510762630073,121.62632583351414
empirical_residual_global,0.95,Year,2023,365,0.9863013698630136,0.03630136986301369,106.43015754154311,109.14510762630073,112.61576707458312
empirical_residual_global,0.95,Year,2024,366,0.9508196721311475,0.0008196721311475308,91.4889178000991,92.9789735604682,110.63370310137365
empirical_residual_global,0.95,Season,Winter,271,0.9114391143911439,-0.038560885608856066,103.71662718353038,109.14510762630073,131.25191934487228
empirical_residual_global,0.95,Season,Summer,276,0.9891304347826086,0.03913043478260869,103.75639627102323,109.14510762630073,105.3494302651719
empirical_residual_global,0.95,Season,Monsoon,366,0.9972677595628415,0.04726775956284157,97.20520082506208,96.2370729931488,97.21159759411701
empirical_residual_global,0.95,Season,Post-Monsoon,183,0.9180327868852459,-0.031967213114754034,103.75639627102322,109.14510762630073,140.79312366920013
empirical_residual_global,0.95,Pollution_Regime,Low,245,0.9959183673469387,0.04591836734693877,94.86066287644886,95.05615639933981,94.87021886613906
empirical_residual_global,0.95,Pollution_Regime,Moderate,330,0.9848484848484849,0.034848484848484906,103.02961537110757,109.14510762630073,105.28782143510014
empirical_residual_global,0.95,Pollution_Regime,High,330,0.9393939393939394,-0.010606060606060508,103.60943141587927,109.14510762630073,132.39605008599068
empirical_residual_global,0.95,Pollution_Regime,Extreme,191,0.9109947643979057,-0.039005235602094235,104.06674090404967,109.14510762630073,127.28491111201171
empirical_residual_global,0.95,Extreme_Subset,Extreme_Episodes_ge_150,398,0.9221105527638191,-0.02788944723618081,103.82409364985836,109.14510762630073,133.83631885395425
gaussian_residual_global,0.8,Global,Overall_All_Folds,1096,0.8494525547445255,0.04945255474452548,58.670572321535836,59.869868033550176,78.84117045489319
gaussian_residual_global,0.8,Year,2022,365,0.8383561643835616,0.0383561643835616,59.86986803355018,59.869868033550176,85.07712362951665
gaussian_residual_global,0.8,Year,2023,365,0.8684931506849315,0.06849315068493145,59.86986803355017,59.869868033550176,73.13868195337969
gaussian_residual_global,0.8,Year,2024,366,0.8415300546448088,0.041530054644808745,56.2785344259881,56.278534425988084,78.30916333553493
gaussian_residual_global,0.8,Season,Winter,271,0.7380073800738007,-0.06199261992619931,58.66392206200721,59.869868033550176,97.58139810131536
gaussian_residual_global,0.8,Season,Summer,276,0.9130434782608695,0.11304347826086947,58.67275683102948,59.869868033550176,64.8104124200701
gaussian_residual_global,0.8,Season,Monsoon,366,0.9562841530054644,0.1562841530054644,58.67275683102948,59.869868033550176,61.63869128807006
gaussian_residual_global,0.8,Season,Post-Monsoon,183,0.7049180327868853,-0.09508196721311479,58.672756831029496,59.869868033550176,106.65535023898082
