feature_name,importance_rank,mean_absolute_shap,mean_sign_stability,stability_classification,average_positive_fraction,average_negative_fraction
aod_550_1d,1,52.029849542846726,0.9864659367396594,HIGH_STABILITY,0.3392335766423357,0.6606447688564477
pm25_roll_mean_3d,2,13.471635954266326,0.9500304136253042,HIGH_STABILITY,0.7000304136253042,0.29838807785888083
pm25_lag_1d,3,8.50117231966667,0.9410888077858881,HIGH_STABILITY,0.6785583941605839,0.31894768856447686
pm25_roll_min_7d,4,4.332355845789742,0.9341849148418492,HIGH_STABILITY,0.4052919708029197,0.5884732360097323
pm25_roll_max_7d,5,3.528690048763106,0.935006082725061,HIGH_STABILITY,0.3778892944038929,0.6163321167883211
pm25_roll_mean_7d,6,2.737005578414944,0.9350060827250608,HIGH_STABILITY,0.3368004866180049,0.653801703163017
pblh_roll_mean_3d,7,2.6093225876531663,0.965419708029197,HIGH_STABILITY,0.6537104622871046,0.33859489051094893
pm25_lag_2d,8,1.752524122889647,0.8657846715328468,MODERATE_STABILITY,0.5475973236009734,0.4238138686131387
pm25_roll_mean_14d,9,1.5171603536114429,0.8953771289537714,MODERATE_STABILITY,0.32813260340632605,0.6373175182481753
pblh_1d,10,0.9021100638091749,0.8656934306569344,MODERATE_STABILITY,0.5938564476885644,0.36155717761557177
pblh_min_1d,11,0.6680680839285307,0.8901155717761557,MODERATE_STABILITY,0.5058698296836983,0.45623479318734794
pm25_lag_3d,12,0.3282028028928001,0.6771593673965937,LOW_STABILITY,0.44942214111922135,0.4584245742092458
wind_speed_kmh_roll_mean_3d,13,0.32615502334228136,0.7452858880778588,MODERATE_STABILITY,0.43327250608272505,0.4577858880778589
wind_v_component_1d,14,0.27686708160138546,0.7025243309002434,MODERATE_STABILITY,0.43117396593673973,0.439294403892944
pm25_lag_7d,15,0.23256881053764664,0.6600364963503651,LOW_STABILITY,0.4053223844282239,0.4730535279805353
fire_hotspot_count_roll_mean_3d,16,0.2321820570387774,0.7215024330900243,MODERATE_STABILITY,0.36651459854014595,0.5005170316301703
rainfall_3d,17,0.2295184898142939,0.8065997566909976,MODERATE_STABILITY,0.5646289537712896,0.28245133819951346
washout_index_3d,18,0.22850097583374257,0.8005778588807786,MODERATE_STABILITY,0.5600973236009732,0.2826338199513382
wind_speed_kmh_lag_1d,19,0.22780679671637893,0.6989963503649635,LOW_STABILITY,0.49178832116788324,0.389963503649635
wind_u_component_1d,20,0.2245916937766857,0.6593065693430656,LOW_STABILITY,0.4271289537712895,0.4242396593673966
fire_hotspot_count_roll_mean_7d,21,0.20692833781545336,0.70088199513382,MODERATE_STABILITY,0.3842761557177615,0.4614355231143552
temperature_c_roll_mean_3d,22,0.18466545978669646,0.6590024330900243,LOW_STABILITY,0.411830900243309,0.3956812652068126
ventilation_index_1d,23,0.18460656717604038,0.63661800486618,LOW_STABILITY,0.35708637469586374,0.49343065693430654
upwind_stubble_quadrant_1d,24,0.1785912698866043,0.6448296836982969,LOW_STABILITY,0.35334549878345495,0.4364963503649635
humidity_pct_roll_mean_3d,25,0.1747530281625109,0.6485705596107058,LOW_STABILITY,0.41748783454987837,0.40012165450121656
temperature_c_lag_1d,26,0.1746191955110372,0.685066909975669,LOW_STABILITY,0.39592457420924576,0.4168795620437956
pm25_roll_std_7d,27,0.15972158878148743,0.6117092457420925,LOW_STABILITY,0.4724148418491484,0.3774330900243309
humidity_pct_roll_max_7d,28,0.15673481770247608,0.6289233576642336,LOW_STABILITY,0.44522506082725066,0.36757907542579077
fire_hotspot_count_lag_1d,29,0.1474192819245099,0.608728710462287,LOW_STABILITY,0.3747566909975669,0.43865571776155715
temperature_c_roll_min_3d,30,0.14427724366580152,0.6321167883211678,LOW_STABILITY,0.3687347931873479,0.40045620437956203
humidity_pct_lag_1d,31,0.13057101288952896,0.6020377128953771,LOW_STABILITY,0.38813868613138686,0.41414233576642334
rainfall_1d,32,0.021604672391930365,0.15602189781021897,LOW_STABILITY,0.09498175182481751,0.09163625304136254
rain_event_1d,33,0.006009757691037,0.03281630170316301,LOW_STABILITY,0.014324817518248175,0.01867396593673966
is_stubble_season,34,0.003044689101054787,0.013199513381995131,LOW_STABILITY,0.006721411192214113,0.006478102189781022
festival_window,35,1.5510211018272973e-05,0.0,LOW_STABILITY,0.0,0.0
