feature_name,attribution_group,mean_abs_shap,mean_shap,median_abs_shap,rank
pm25_roll_mean_3d,pm25_persistence,19.332503221661213,0.13143506368439117,25.957917149418535,1
pm25_roll_max_3d,pm25_persistence,14.669943628368179,-0.6952646263178742,16.795294722478083,2
pm25_roll_min_7d,pm25_persistence,10.657201111758647,-0.38112278640291275,9.95527006727768,3
pm25_lag_1d,pm25_persistence,8.025272296170387,0.8366813045655381,11.280351049189287,4
pm25_roll_min_14d,pm25_persistence,7.903791910396165,0.4536368521079404,6.484208942286659,5
pm25_roll_mean_7d,pm25_persistence,4.917798934174168,-0.12525180385932097,4.420035352697172,6
pm25_roll_min_3d,pm25_persistence,4.868067002229764,-0.014270249434200204,5.902267702810673,7
pm25_roll_median_3d,pm25_persistence,4.244473323040946,-0.7350101632476924,5.621980122221123,8
pm25_roll_max_7d,pm25_persistence,4.013694718507065,-0.36879453067532025,3.839476412323939,9
pm25_roll_mean_14d,pm25_persistence,2.3618082151571684,-0.061286335133038695,1.9954363903628738,10
pm25_roll_max_14d,pm25_persistence,2.098050180275164,-0.21486637226391817,1.9095878410262768,11
fire_hotspot_count_roll_median_30d,biomass_burning,0.7718957022620817,0.39096123325953147,0.21909220090530127,12
pm25_roll_min_30d,pm25_persistence,0.760524586046413,0.4969654729205668,0.39681711794428765,13
humidity_pct_roll_mean_30d,meteorology,0.5138318583217402,0.42205393916182293,0.22736660065738495,14
wind_speed_kmh_roll_mean_14d,wind_ventilation,0.45224257509905064,-0.2381350601382574,0.4892543386673533,15
wind_speed_kmh_roll_mean_30d,wind_ventilation,0.3665330887253757,-0.0691229209769048,0.2819024521130802,16
fire_hotspot_count_roll_mean_30d,biomass_burning,0.3608265167340917,0.07261456300970533,0.12691631177406495,17
pm25_roll_median_7d,pm25_persistence,0.22452707754716705,0.08485068646501348,0.13288762429310944,18
pm25_roll_std_30d,pm25_persistence,0.21085861500729472,0.061060752458136226,0.12886931822500608,19
pm25_roll_var_30d,pm25_persistence,0.19474223869668042,0.05914688943602465,0.09680430900059768,20
humidity_pct_roll_median_30d,meteorology,0.1893037617552713,0.18178586344506986,0.05581464664705635,21
pm25_roll_var_14d,pm25_persistence,0.16879795200394954,-0.09085258947951898,0.14581578254055255,22
pm25_roll_std_14d,pm25_persistence,0.1624217175919809,-0.10459244726667521,0.1431810824485881,23
temperature_c_roll_var_7d,meteorology,0.15391536592844157,0.005771302120307814,0.04647175027778891,24
pm25_roll_var_7d,pm25_persistence,0.15114841544119775,0.07221742110236427,0.07944487441603468,25
humidity_pct_roll_max_30d,meteorology,0.14795492300471283,0.11041339660854568,0.03895635444401375,26
temperature_c_roll_std_7d,meteorology,0.1467399428466776,0.011354163827641834,0.05451460936988599,27
fire_hotspot_count_roll_var_30d,biomass_burning,0.12594094416138402,0.044738327654044965,0.09304696130593798,28
humidity_pct_lag_7d,meteorology,0.12263984519206803,0.01460661047879963,0.05621807162081078,29
wind_speed_kmh_lag_14d,wind_ventilation,0.1212869050608052,-0.0256934049933838,0.06879826867945735,30
temperature_c_roll_mean_14d,meteorology,0.11159847779425293,0.07585174811906946,0.08405453476498748,31
temperature_c_roll_std_3d,meteorology,0.10736463126236631,0.003321229630230872,0.07852471807233521,32
wind_speed_kmh_roll_median_7d,wind_ventilation,0.10098469341783803,-0.008349956386312788,0.0816991965952078,33
wind_speed_kmh_roll_mean_7d,wind_ventilation,0.09890301664055316,-0.03768609360515354,0.08550106373651112,34
fire_hotspot_count_roll_std_30d,biomass_burning,0.09658778514804471,0.027601800837833187,0.08102006741363713,35
wind_speed_kmh_roll_median_14d,wind_ventilation,0.09315968489876207,-0.027880598624237255,0.08359749636300907,36
humidity_pct_roll_median_7d,meteorology,0.09253646643455575,0.014786936603852633,0.0697703883620386,37
wind_speed_kmh_roll_std_30d,wind_ventilation,0.09101136958140825,-0.02295215650097008,0.0676063653331651,38
temperature_c_roll_var_3d,meteorology,0.09000528953400562,0.005349684073899828,0.04106425116838162,39
wind_speed_kmh_roll_median_30d,wind_ventilation,0.08553250995209502,-0.043093696994292316,0.09144520594366584,40
temperature_c_roll_var_30d,meteorology,0.08221793747923735,-0.015815278146095346,0.034022585244975694,41
wind_speed_kmh_lag_2d,wind_ventilation,0.08187530206057088,-0.019123808576501707,0.05875971306490349,42
humidity_pct_roll_mean_7d,meteorology,0.08057213115389605,0.009916343081874121,0.08611448001342045,43
pm25_roll_var_3d,pm25_persistence,0.07886242145211014,0.030968823930540408,0.0708384294956506,44
wind_speed_kmh_roll_min_3d,wind_ventilation,0.0721315925333813,-0.01717400813262757,0.04524006551544219,45
