date,group_a,group_b,effect_a,effect_b,effect_combined_ab,interaction_value,non_additive_flag
2020-01-01,biomass_burning,wind_ventilation,-0.9449344677372551,-11.611089667893964,-13.716858095690156,-1.1608339600589375,False
2020-01-02,biomass_burning,wind_ventilation,-0.9449344677372551,-11.611089667893964,-13.716858095690156,-1.1608339600589375,False
2020-01-03,biomass_burning,wind_ventilation,0.27792447507317775,-13.63622045521663,-13.357198867608815,0.00109711253463729,False
2020-01-04,biomass_burning,wind_ventilation,-0.4701020802889957,-15.369866556033116,-16.588628954700823,-0.748660318378711,False
2020-01-05,biomass_burning,wind_ventilation,0.18121970972504187,-14.509754319793387,-14.943682154829446,-0.6151475447611006,False
2020-01-06,biomass_burning,wind_ventilation,-0.40533081243796687,-16.28616617416543,-17.440157304982165,-0.7486603183787679,False
2020-01-07,biomass_burning,wind_ventilation,-0.6330755818734701,-16.746021362057093,-17.377999831395982,0.0010971125345804467,False
2020-01-08,biomass_burning,wind_ventilation,-0.19719388241799152,-15.987887510612723,-15.802582453573109,0.38249893945760505,False
2020-01-09,biomass_burning,wind_ventilation,0.7392350474285649,-14.838276732669556,-14.325409202042067,-0.22636751680107636,False
2020-01-10,biomass_burning,wind_ventilation,-0.9956607252305503,-16.694762939844168,-17.938615747386677,-0.24819208231195944,False
2020-01-11,biomass_burning,wind_ventilation,-0.725065781804517,-15.201922415624153,-16.175180279740516,-0.24819208231184575,False
2020-01-12,biomass_burning,wind_ventilation,-0.30066436475362934,-16.05310400079958,-16.573017864146948,-0.2192494985937401,False
2020-01-13,biomass_burning,wind_ventilation,-0.055382854070558096,-15.40060505713808,-15.863878532109425,-0.40789062090078687,False
2020-01-14,biomass_burning,wind_ventilation,-0.02444844538547386,-17.107345621835634,-16.87416374040083,0.2576303268202764,False
2020-01-15,biomass_burning,wind_ventilation,0.452954400034173,-16.01003222564367,-15.38457995677237,0.1724978688371266,False
2020-01-16,biomass_burning,wind_ventilation,0.29526633664511337,-16.40546951239827,-15.728801348830189,0.38140182692296776,False
2020-01-17,biomass_burning,wind_ventilation,-0.03618771550316069,-16.318509658139874,-16.488814414253852,-0.13411704061081764,False
2020-01-18,biomass_burning,wind_ventilation,-0.4934395213656444,-17.071411647773743,-17.813169252683167,-0.24831808354377927,False
2020-01-19,biomass_burning,wind_ventilation,0.7412151254935111,-15.687984904991538,-14.867811046689155,0.07895873280887145,False
2020-01-20,biomass_burning,wind_ventilation,0.31919186661883714,-17.01274487565371,-16.907118073494757,-0.21356506445988543,False
2020-01-21,biomass_burning,wind_ventilation,1.3256409536978708,-13.442822390229423,-12.647323496211868,-0.5301420596803155,False
2020-01-22,biomass_burning,wind_ventilation,0.20673731439558196,-15.980686832445429,-16.622087931395242,-0.8481384133453957,False
2020-01-23,biomass_burning,wind_ventilation,-0.7021059804843617,-15.62511127802469,-17.021642056284577,-0.6944247977755253,False
2020-01-24,biomass_burning,wind_ventilation,0.3097934846828707,-17.17789383062683,-17.411357562502758,-0.5432572165587999,False
2020-01-25,biomass_burning,wind_ventilation,0.3330356662698932,-15.350064058792782,-14.912742469198008,0.10428592332488051,False
