date,scenario,target_group,observed_shap_value,delta_prediction,directional_consistency,counterfactual_shap_conflict
2020-01-01,biomass_low,biomass_burning,-0.8906963492746639,-0.9449344677371982,False,True
2020-01-02,biomass_low,biomass_burning,-0.8906963492746639,-0.9449344677371982,False,True
2020-01-03,biomass_low,biomass_burning,-0.5682960635367628,0.2779244750732346,True,False
2020-01-04,biomass_low,biomass_burning,-0.0273562563850812,-0.47010208028893885,False,True
2020-01-05,biomass_low,biomass_burning,-0.3134061802266177,0.18121970972504187,True,False
2020-01-06,biomass_low,biomass_burning,-0.3306956949614039,-0.40533081243796687,False,True
2020-01-07,biomass_low,biomass_burning,-0.2939033334617364,-0.6330755818734701,False,True
2020-01-08,biomass_low,biomass_burning,-0.6131136796689723,-0.19719388241799152,False,True
2020-01-09,biomass_low,biomass_burning,-0.8418410239618426,0.7392350474285649,True,False
2020-01-10,biomass_low,biomass_burning,-0.1348367926010048,-0.9956607252305503,False,True
2020-01-11,biomass_low,biomass_burning,-0.2405393465273794,-0.725065781804517,False,True
2020-01-12,biomass_low,biomass_burning,-0.3273558833088431,-0.30066436475362934,False,True
2020-01-13,biomass_low,biomass_burning,-0.5422455840462115,-0.055382854070558096,False,True
2020-01-14,biomass_low,biomass_burning,-0.4474954742947153,-0.02444844538547386,False,True
2020-01-15,biomass_low,biomass_burning,-0.5199270965463444,0.45295440003411613,True,False
2020-01-16,biomass_low,biomass_burning,-0.5828829077461053,0.2952663366450565,True,False
2020-01-17,biomass_low,biomass_burning,-0.384046789469459,-0.03618771550321753,False,True
2020-01-18,biomass_low,biomass_burning,-0.3424312654865578,-0.4934395213656444,False,True
2020-01-19,biomass_low,biomass_burning,-0.9892209616846516,0.7412151254935111,True,False
2020-01-20,biomass_low,biomass_burning,-0.779073195782767,0.31919186661883714,True,False
2020-01-21,biomass_low,biomass_burning,-1.7621467629409902,1.3256409536978708,True,False
2020-01-22,biomass_low,biomass_burning,-1.6563392815236662,0.20673731439558196,True,False
2020-01-23,biomass_low,biomass_burning,-0.7417657512848227,-0.702105980484248,False,True
2020-01-24,biomass_low,biomass_burning,-0.928149797129674,0.30979348468292756,True,False
2020-01-25,biomass_low,biomass_burning,-1.0845120442174372,0.3330356662698932,True,False
2020-01-26,biomass_low,biomass_burning,-0.8901591432872887,-0.017566753903508925,False,True
2020-01-27,biomass_low,biomass_burning,-1.3274185238077727,1.1783299801566045,True,False
2020-01-28,biomass_low,biomass_burning,-1.4657186374087203,1.2406092502252477,True,False
2020-01-29,biomass_low,biomass_burning,-0.7958359881133321,0.22297690551027927,True,False
2020-01-30,biomass_low,biomass_burning,-0.2241235078218008,-0.5315127337059948,False,True
2020-01-31,biomass_low,biomass_burning,-0.3402211059480948,-0.3294968652318744,False,True
2020-02-01,biomass_low,biomass_burning,-0.6262294852038603,0.3795113717549725,True,False
2020-02-02,biomass_low,biomass_burning,-1.2951297177739796,-0.4206960282872103,False,True
2020-02-03,biomass_low,biomass_burning,-2.193959688404937,0.03182028991278685,True,False
2020-02-04,biomass_low,biomass_burning,-1.386408303962912,-0.5513499206377901,False,True
2020-02-05,biomass_low,biomass_burning,-1.896191720924583,0.3326580854431995,True,False
2020-02-06,biomass_low,biomass_burning,-2.6313010293782795,1.3908897591052494,True,False
2020-02-07,biomass_low,biomass_burning,-1.691254006135811,0.18560725705023629,True,False
2020-02-08,biomass_low,biomass_burning,-1.4654367221451443,-0.16492398247254414,False,True
2020-02-09,biomass_low,biomass_burning,-2.367179759694074,1.2956704514751607,True,False
2020-02-10,biomass_low,biomass_burning,-1.552062023998714,0.2949281317932275,True,False
2020-02-11,biomass_low,biomass_burning,-1.9558750868834645,0.8329229224473522,True,False
2020-02-12,biomass_low,biomass_burning,-1.7314893238960434,0.40660967863652786,True,False
2020-02-13,biomass_low,biomass_burning,-1.6929873594553726,0.11794706056107884,True,False
2020-02-14,biomass_low,biomass_burning,-1.606084450155464,0.5110565267582388,True,False
2020-02-15,biomass_low,biomass_burning,-2.115698406868984,1.0417193531104658,True,False
2020-02-16,biomass_low,biomass_burning,-2.1572592930830843,2.1422447712735675,True,False
2020-02-17,biomass_low,biomass_burning,-2.1982514007893834,2.213441455399362,True,False
2020-02-18,biomass_low,biomass_burning,-1.4808483087707756,1.1135812505346507,True,False
2020-02-19,biomass_low,biomass_burning,-2.0128207191368968,1.261459793605269,True,False
2020-02-20,biomass_low,biomass_burning,-2.967679194778904,2.621780493556315,True,False
2020-02-21,biomass_low,biomass_burning,-2.126240810166641,0.9417922760139561,True,False
2020-02-22,biomass_low,biomass_burning,-2.2729040180422566,1.0268481645845782,True,False
2020-02-23,biomass_low,biomass_burning,-1.867529261092067,0.40233697922204215,True,False
