date,scenario,ood_flag,ood_score,ood_reason
2020-04-02,biomass_low,False,1.2491392194149789,Normal feature distribution
2020-04-03,biomass_low,False,1.2287988450150005,Normal feature distribution
2020-04-04,biomass_low,False,1.236060542035672,Normal feature distribution
2020-04-05,biomass_low,False,1.299858170818,Normal feature distribution
2020-04-06,biomass_low,False,1.2236138389716675,Normal feature distribution
2020-04-07,biomass_low,False,1.4679522820201378,Normal feature distribution
2020-04-08,biomass_low,False,1.2768275791013866,Normal feature distribution
2020-04-09,biomass_low,False,1.586806632261353,Normal feature distribution
2020-04-10,biomass_low,False,1.586806632261353,Normal feature distribution
2020-04-11,biomass_low,False,1.586806632261353,Normal feature distribution
2020-04-12,biomass_low,False,1.6694078578421765,Normal feature distribution
2020-04-13,biomass_low,False,1.3259958616746421,Normal feature distribution
2020-04-14,biomass_low,False,1.3259958616746421,Normal feature distribution
2020-04-15,biomass_low,False,1.670156665287647,Normal feature distribution
2020-04-16,biomass_low,False,2.0690822908354276,Normal feature distribution
2020-04-17,biomass_low,False,1.8695754903460133,Normal feature distribution
2020-04-18,biomass_low,False,1.6129486103348776,Normal feature distribution
2020-04-19,biomass_low,False,1.7920115236261056,Normal feature distribution
2020-04-20,biomass_low,False,1.7920542775341866,Normal feature distribution
2020-04-21,biomass_low,False,1.7922163743225412,Normal feature distribution
2020-04-22,biomass_low,False,1.6129486103348776,Normal feature distribution
2020-04-23,biomass_low,False,1.6129486103348776,Normal feature distribution
2020-04-24,biomass_low,False,2.0544977569681406,Normal feature distribution
2020-04-25,biomass_low,False,1.794220563373618,Normal feature distribution
2020-04-26,biomass_low,False,1.496468274940431,Normal feature distribution
2020-04-27,biomass_low,False,3.4419168469344905,Normal feature distribution
2020-04-28,biomass_low,False,3.72006600629115,Normal feature distribution
2020-04-29,biomass_low,False,2.627096101611307,Normal feature distribution
2020-04-30,biomass_low,False,1.8631154309224371,Normal feature distribution
2020-05-01,biomass_low,False,1.5764659849965794,Normal feature distribution
2020-05-02,biomass_low,False,1.7972142352635143,Normal feature distribution
2020-05-03,biomass_low,False,2.630833843083124,Normal feature distribution
2020-05-04,biomass_low,False,2.626742408794902,Normal feature distribution
