isolation_pass,max_untargeted_diff,bounds_pass,out_of_bounds_count,overall_plausibility_pass,date,scenario
True,0.0,True,0,True,2020-05-05,biomass_low
True,0.0,True,0,True,2020-05-06,biomass_low
True,0.0,True,0,True,2020-05-07,biomass_low
True,0.0,True,0,True,2020-05-08,biomass_low
True,0.0,True,0,True,2020-05-09,biomass_low
True,0.0,True,0,True,2020-05-10,biomass_low
True,0.0,True,0,True,2020-05-11,biomass_low
True,0.0,True,0,True,2020-05-12,biomass_low
True,0.0,True,0,True,2020-05-13,biomass_low
True,0.0,True,0,True,2020-05-14,biomass_low
True,0.0,True,0,True,2020-05-15,biomass_low
True,0.0,True,0,True,2020-05-16,biomass_low
True,0.0,True,0,True,2020-05-17,biomass_low
True,0.0,True,0,True,2020-05-18,biomass_low
True,0.0,True,0,True,2020-05-19,biomass_low
True,0.0,True,0,True,2020-05-20,biomass_low
True,0.0,True,0,True,2020-05-21,biomass_low
True,0.0,True,0,True,2020-05-22,biomass_low
True,0.0,True,0,True,2020-05-23,biomass_low
True,0.0,True,0,True,2020-05-24,biomass_low
True,0.0,True,0,True,2020-05-25,biomass_low
True,0.0,True,0,True,2020-05-26,biomass_low
True,0.0,True,0,True,2020-05-27,biomass_low
True,0.0,True,0,True,2020-05-28,biomass_low
True,0.0,True,0,True,2020-05-29,biomass_low
True,0.0,True,0,True,2020-05-30,biomass_low
True,0.0,True,0,True,2020-05-31,biomass_low
True,0.0,True,0,True,2020-06-01,biomass_low
True,0.0,True,0,True,2020-06-02,biomass_low
True,0.0,True,0,True,2020-06-03,biomass_low
True,0.0,True,0,True,2020-06-04,biomass_low
True,0.0,True,0,True,2020-06-05,biomass_low
True,0.0,True,0,True,2020-06-06,biomass_low
True,0.0,True,0,True,2020-06-07,biomass_low
True,0.0,True,0,True,2020-06-08,biomass_low
True,0.0,True,0,True,2020-06-09,biomass_low
True,0.0,True,0,True,2020-06-10,biomass_low
True,0.0,True,0,True,2020-06-11,biomass_low
True,0.0,True,0,True,2020-06-12,biomass_low
True,0.0,True,0,True,2020-06-13,biomass_low
True,0.0,True,0,True,2020-06-14,biomass_low
True,0.0,True,0,True,2020-06-15,biomass_low
True,0.0,True,0,True,2020-06-16,biomass_low
True,0.0,True,0,True,2020-06-17,biomass_low
True,0.0,True,0,True,2020-06-18,biomass_low
True,0.0,True,0,True,2020-06-19,biomass_low
True,0.0,True,0,True,2020-06-20,biomass_low
True,0.0,True,0,True,2020-06-21,biomass_low
True,0.0,True,0,True,2020-06-22,biomass_low
True,0.0,True,0,True,2020-06-23,biomass_low
True,0.0,True,0,True,2020-06-24,biomass_low
True,0.0,True,0,True,2020-06-25,biomass_low
True,0.0,True,0,True,2020-06-26,biomass_low
True,0.0,True,0,True,2020-06-27,biomass_low
True,0.0,True,0,True,2020-06-28,biomass_low
True,0.0,True,0,True,2020-06-29,biomass_low
True,0.0,True,0,True,2020-06-30,biomass_low
True,0.0,True,0,True,2020-07-01,biomass_low
True,0.0,True,0,True,2020-07-02,biomass_low
True,0.0,True,0,True,2020-07-03,biomass_low
True,0.0,True,0,True,2020-07-04,biomass_low
True,0.0,True,0,True,2020-07-05,biomass_low
True,0.0,True,0,True,2020-07-06,biomass_low
True,0.0,True,0,True,2020-07-07,biomass_low
True,0.0,True,0,True,2020-07-08,biomass_low
True,0.0,True,0,True,2020-07-09,biomass_low
True,0.0,True,0,True,2020-07-10,biomass_low
True,0.0,True,0,True,2020-07-11,biomass_low
True,0.0,True,0,True,2020-07-12,biomass_low
True,0.0,True,0,True,2020-07-13,biomass_low
True,0.0,True,0,True,2020-07-14,biomass_low
True,0.0,True,0,True,2020-07-15,biomass_low
True,0.0,True,0,True,2020-07-16,biomass_low
True,0.0,True,0,True,2020-07-17,biomass_low
True,0.0,True,0,True,2020-07-18,biomass_low
True,0.0,True,0,True,2020-07-19,biomass_low
True,0.0,True,0,True,2020-07-20,biomass_low
