architecture,seed,initial_loss,final_loss,loss_decreased,total_param_delta,status
LSTM,42,28809.248046875,23877.791434151786,True,4.16949462890625,PASS
TCN,42,39175.66796875,19231.827532087053,True,9.004702672362328,PASS
Transformer,42,30703.787714469858,18487.811080107964,True,14.951615169644356,PASS
