slice_category,slice_name,sample_count,empirical_coverage_90pct,coverage_error,mean_width_ugm3,winkler_score
Pollution Regime,Low,245,0.9020408163265307,0.0020408163265306367,39.71329237580396,52.88103262699925
Pollution Regime,Moderate,330,0.8848484848484849,-0.015151515151515138,57.93751914633126,76.16373755446054
Pollution Regime,High,330,0.9121212121212121,0.012121212121212088,86.0311812526142,112.44282559927636
Pollution Regime,Extreme,191,0.8900523560209425,-0.009947643979057563,94.94431114074932,112.52806000655579
Season,Winter,271,0.8819188191881919,-0.018081180811808095,89.54723463077286,116.07479979363093
Season,Summer,276,0.9166666666666666,0.016666666666666607,63.75723510082434,75.80548906777648
Season,Monsoon,366,0.9180327868852459,0.0180327868852459,47.50045708891853,57.948211984499075
Season,Post-Monsoon,183,0.8524590163934426,-0.04754098360655745,88.11107335680846,126.23632230870604
Evaluation Year,2022,365,0.8794520547945206,-0.020547945205479423,70.32798888687942,95.25091051336099
Evaluation Year,2023,365,0.9287671232876712,0.02876712328767117,69.97839204522693,82.03764553447583
Evaluation Year,2024,366,0.8852459016393442,-0.014754098360655776,66.01629003111553,87.37310201677518
