time_period,sample_count,empirical_coverage_90pct,coverage_error,mpiw_ugm3,median_width_ugm3,winkler_score,under_coverage_count,over_coverage_count
Year 2022,365,0.8794520547945206,-0.020547945205479423,70.32798888687942,60.242241613439646,95.25091051336099,33,11
Year 2023,365,0.9287671232876712,0.02876712328767117,69.97839204522693,58.23203644242521,82.03764553447583,22,4
Year 2024,366,0.8852459016393442,-0.014754098360655776,66.01629003111553,55.35405709541972,87.37310201677518,28,14
Overall (2022–2024),1096,0.8978102189781022,-0.0021897810218978186,68.77170729161232,60.24224161343963,88.21977946678847,83,29
