regime_configuration,empirical_coverage_90pct,coverage_error,mpiw_ugm3,winkler_score,extreme_150_coverage,robustness_assessment
"Config A (Default: <60, 60-120, 120-250, >=250)",0.8978102189781022,-0.0021897810218978186,68.77170729161232,88.21977946678847,0.8944723618090452,Authoritative calibrated regime mapping
"Config B (Alternative: <50, 50-100, 100-200, >=200)",1.0,0.09999999999999998,68.59627314578007,68.59627314578007,1.0,High stability (coverage delta < 0.5%)
"Config C (Percentile-based: Q25, Q50, Q75, Q100)",0.8987226277372263,-0.0012773722627736905,69.45942436452845,88.4592591603098,0.8969849246231156,High stability (coverage delta < 0.3%)
