config_id,config_name,architecture,augmentation_ratio,corpus_type,seed,window_size,dimension,category,samples,mae,rmse
REAL_PLUS_8C_10,Real + 10% Phase 8C Baseline,TCN,0.1,8C,42,14,Season,Monsoon,366,16.998695373535156,21.752423732366513
REAL_PLUS_8C_10,Real + 10% Phase 8C Baseline,TCN,0.1,8C,42,14,Season,Post-Monsoon,183,50.247589111328125,61.390412238750685
REAL_PLUS_8C_10,Real + 10% Phase 8C Baseline,TCN,0.1,8C,42,14,Season,Summer,276,20.41404914855957,24.936587056440533
REAL_PLUS_8C_10,Real + 10% Phase 8C Baseline,TCN,0.1,8C,42,14,Season,Winter,257,44.98817825317383,53.53535904398839
REAL_PLUS_8C_10,Real + 10% Phase 8C Baseline,TCN,0.1,8C,42,14,Regime,Extreme,180,46.30198669433594,58.146493002050434
REAL_PLUS_8C_10,Real + 10% Phase 8C Baseline,TCN,0.1,8C,42,14,Regime,High,327,43.41938781738281,50.73247898366613
REAL_PLUS_8C_10,Real + 10% Phase 8C Baseline,TCN,0.1,8C,42,14,Regime,Low,245,15.073304176330566,19.926805456058272
REAL_PLUS_8C_10,Real + 10% Phase 8C Baseline,TCN,0.1,8C,42,14,Regime,Moderate,330,19.356409072875977,26.028515950359616
REAL_PLUS_8C_10,Real + 10% Phase 8C Baseline,Transformer,0.1,8C,42,14,Year,2022,351,34.86264115202967,48.760670386560896
REAL_PLUS_8C_10,Real + 10% Phase 8C Baseline,Transformer,0.1,8C,42,14,Year,2023,365,32.46485943572211,43.25760925261211
REAL_PLUS_8C_10,Real + 10% Phase 8C Baseline,Transformer,0.1,8C,42,14,Year,2024,366,35.234105756970536,48.502639369026326
REAL_PLUS_8C_10,Real + 10% Phase 8C Baseline,Transformer,0.1,8C,42,14,Season,Monsoon,366,17.034916374303886,21.620764996767736
REAL_PLUS_8C_10,Real + 10% Phase 8C Baseline,Transformer,0.1,8C,42,14,Season,Post-Monsoon,183,62.413700088974224,74.29062517506233
REAL_PLUS_8C_10,Real + 10% Phase 8C Baseline,Transformer,0.1,8C,42,14,Season,Summer,276,23.29513219627722,29.36384523781969
REAL_PLUS_8C_10,Real + 10% Phase 8C Baseline,Transformer,0.1,8C,42,14,Season,Winter,257,50.17976828794622,61.10176076371101
REAL_PLUS_8C_10,Real + 10% Phase 8C Baseline,Transformer,0.1,8C,42,14,Regime,Extreme,180,47.20706604746367,58.16804127744666
REAL_PLUS_8C_10,Real + 10% Phase 8C Baseline,Transformer,0.1,8C,42,14,Regime,High,327,53.18379139577525,63.89562555370712
REAL_PLUS_8C_10,Real + 10% Phase 8C Baseline,Transformer,0.1,8C,42,14,Regime,Low,245,16.071112012018798,20.721640597997332
REAL_PLUS_8C_10,Real + 10% Phase 8C Baseline,Transformer,0.1,8C,42,14,Regime,Moderate,330,21.68590705316854,31.588793151994917
REAL_PLUS_8C_25,Real + 25% Phase 8C Baseline (Recommended),LSTM,0.25,8C,42,14,Year,2022,351,35.7778385415781,46.722232942314385
REAL_PLUS_8C_25,Real + 25% Phase 8C Baseline (Recommended),LSTM,0.25,8C,42,14,Year,2023,365,36.24621920209434,46.5549305314865
REAL_PLUS_8C_25,Real + 25% Phase 8C Baseline (Recommended),LSTM,0.25,8C,42,14,Year,2024,366,34.67586065611017,46.480795749459254
