method,nominal_coverage,sample_count,empirical_coverage,coverage_error,mean_width_ugm3,median_width_ugm3,winkler_interval_score
bootstrap_raw,0.8,1096,0.20255474452554745,-0.5974452554744526,12.990247469915918,11.770947004694527,126.38428646192689
bootstrap_raw,0.9,1096,0.2545620437956204,-0.6454379562043796,16.36109180265064,14.928766986664627,219.03632108295358
bootstrap_raw,0.95,1096,0.2956204379562044,-0.6543795620437955,18.915029153956027,17.39302339097975,389.88385780537504
bootstrap_clipped,0.8,1096,0.20255474452554745,-0.5974452554744526,12.990247469915918,11.770947004694527,126.38428646192689
bootstrap_clipped,0.9,1096,0.2545620437956204,-0.6454379562043796,16.36109180265064,14.928766986664627,219.03632108295358
bootstrap_clipped,0.95,1096,0.2956204379562044,-0.6543795620437955,18.915029153956027,17.39302339097975,389.88385780537504
seed_raw,0.8,1096,0.032846715328467155,-0.7671532846715329,2.182656437699543,2.0647008183120548,161.63572026797155
seed_raw,0.9,1096,0.037408759124087594,-0.8625912408759124,2.7356640627559186,2.5898120932940287,316.32787417707533
seed_raw,0.95,1096,0.04562043795620438,-0.9043795620437955,3.1627883228318225,2.9720365965870457,622.2595484222811
seed_clipped,0.8,1096,0.032846715328467155,-0.7671532846715329,2.182656437699543,2.0647008183120548,161.63572026797155
seed_clipped,0.9,1096,0.037408759124087594,-0.8625912408759124,2.7356640627559186,2.5898120932940287,316.32787417707533
seed_clipped,0.95,1096,0.04562043795620438,-0.9043795620437955,3.1627883228318225,2.9720365965870457,622.2595484222811
family_clipped,0.8,1096,0.16058394160583941,-0.6394160583941606,9.361760490902485,7.086085545712429,137.7248575648793
family_clipped,0.9,1096,0.16058394160583941,-0.7394160583941606,9.361760490902485,7.086085545712429,266.0879546388561
family_clipped,0.95,1096,0.16058394160583941,-0.7894160583941605,9.361760490902485,7.086085545712429,522.8141487868091
