date,eval_fold,year,method,nominal_coverage,lower_bound,upper_bound,interval_width,observed_pm25,covered,is_clipped,season,pollution_regime
2022-01-01,1,2022,bootstrap_raw,0.8,282.41846435345565,308.90232921360115,26.483864860145502,262.12,False,False,Winter,Extreme
2022-01-01,1,2022,bootstrap_clipped,0.8,282.41846435345565,308.90232921360115,26.483864860145502,262.12,False,True,Winter,Extreme
2022-01-01,1,2022,bootstrap_raw,0.9,276.4648739594792,317.28530126787905,40.82042730839987,262.12,False,False,Winter,Extreme
2022-01-01,1,2022,bootstrap_clipped,0.9,276.4648739594792,317.28530126787905,40.82042730839987,262.12,False,True,Winter,Extreme
2022-01-01,1,2022,bootstrap_raw,0.95,271.2595153937282,321.6114563718574,50.35194097812922,262.12,False,False,Winter,Extreme
2022-01-01,1,2022,bootstrap_clipped,0.95,271.2595153937282,321.6114563718574,50.35194097812922,262.12,False,True,Winter,Extreme
2022-01-02,1,2022,bootstrap_raw,0.8,247.54952962461584,262.3147755701986,14.765245945582762,275.29,False,False,Winter,Extreme
2022-01-02,1,2022,bootstrap_clipped,0.8,247.54952962461584,262.3147755701986,14.765245945582762,275.29,False,True,Winter,Extreme
2022-01-02,1,2022,bootstrap_raw,0.9,243.1275777760063,263.9991242562191,20.8715464802128,275.29,False,False,Winter,Extreme
2022-01-02,1,2022,bootstrap_clipped,0.9,243.1275777760063,263.9991242562191,20.8715464802128,275.29,False,True,Winter,Extreme
2022-01-02,1,2022,bootstrap_raw,0.95,238.25571896379927,264.4805952509846,26.22487628718534,275.29,False,False,Winter,Extreme
2022-01-02,1,2022,bootstrap_clipped,0.95,238.25571896379927,264.4805952509846,26.22487628718534,275.29,False,True,Winter,Extreme
2022-01-03,1,2022,bootstrap_raw,0.8,347.8276677611527,360.73142795789124,12.903760196738517,390.95,False,False,Winter,Extreme
2022-01-03,1,2022,bootstrap_clipped,0.8,347.8276677611527,360.73142795789124,12.903760196738517,390.95,False,True,Winter,Extreme
2022-01-03,1,2022,bootstrap_raw,0.9,346.13416124188507,361.9044352111173,15.770273969232221,390.95,False,False,Winter,Extreme
2022-01-03,1,2022,bootstrap_clipped,0.9,346.13416124188507,361.9044352111173,15.770273969232221,390.95,False,True,Winter,Extreme
2022-01-03,1,2022,bootstrap_raw,0.95,344.68181525013415,362.39117417544736,17.70935892531321,390.95,False,False,Winter,Extreme
2022-01-03,1,2022,bootstrap_clipped,0.95,344.68181525013415,362.39117417544736,17.70935892531321,390.95,False,True,Winter,Extreme
2022-01-04,1,2022,bootstrap_raw,0.8,315.27360821947946,349.9842457269344,34.71063750745492,301.63,False,False,Winter,Extreme
2022-01-04,1,2022,bootstrap_clipped,0.8,315.27360821947946,349.9842457269344,34.71063750745492,301.63,False,True,Winter,Extreme
2022-01-04,1,2022,bootstrap_raw,0.9,312.19484189466624,351.7313241180076,39.53648222334135,301.63,False,False,Winter,Extreme
2022-01-04,1,2022,bootstrap_clipped,0.9,312.19484189466624,351.7313241180076,39.53648222334135,301.63,False,True,Winter,Extreme
2022-01-04,1,2022,bootstrap_raw,0.95,310.1921140090343,352.9929074483461,42.8007934393118,301.63,False,False,Winter,Extreme
2022-01-04,1,2022,bootstrap_clipped,0.95,310.1921140090343,352.9929074483461,42.8007934393118,301.63,False,True,Winter,Extreme
2022-01-05,1,2022,bootstrap_raw,0.8,220.45027497962064,234.4544569074652,14.004181927844542,239.84,False,False,Winter,High
2022-01-05,1,2022,bootstrap_clipped,0.8,220.45027497962064,234.4544569074652,14.004181927844542,239.84,False,True,Winter,High
2022-01-05,1,2022,bootstrap_raw,0.9,217.20029203866946,234.57125815889236,17.370966120222903,239.84,False,False,Winter,High
2022-01-05,1,2022,bootstrap_clipped,0.9,217.20029203866946,234.57125815889236,17.370966120222903,239.84,False,True,Winter,High
2022-01-05,1,2022,bootstrap_raw,0.95,216.00261026937017,236.34493947472257,20.3423292053524,239.84,False,False,Winter,High
2022-01-05,1,2022,bootstrap_clipped,0.95,216.00261026937017,236.34493947472257,20.3423292053524,239.84,False,True,Winter,High
2022-01-06,1,2022,bootstrap_raw,0.8,251.06326806506496,263.63982159595025,12.576553530885292,299.74,False,False,Winter,Extreme
2022-01-06,1,2022,bootstrap_clipped,0.8,251.06326806506496,263.63982159595025,12.576553530885292,299.74,False,True,Winter,Extreme
2022-01-06,1,2022,bootstrap_raw,0.9,245.28323800281078,265.8075452451003,20.524307242289524,299.74,False,False,Winter,Extreme
2022-01-06,1,2022,bootstrap_clipped,0.9,245.28323800281078,265.8075452451003,20.524307242289524,299.74,False,True,Winter,Extreme
2022-01-06,1,2022,bootstrap_raw,0.95,240.00530171135034,267.0119797406023,27.006678029251987,299.74,False,False,Winter,Extreme
2022-01-06,1,2022,bootstrap_clipped,0.95,240.00530171135034,267.0119797406023,27.006678029251987,299.74,False,True,Winter,Extreme
2022-01-07,1,2022,bootstrap_raw,0.8,307.1167366949771,325.5488186992149,18.432082004237827,350.38,False,False,Winter,Extreme
2022-01-07,1,2022,bootstrap_clipped,0.8,307.1167366949771,325.5488186992149,18.432082004237827,350.38,False,True,Winter,Extreme
2022-01-07,1,2022,bootstrap_raw,0.9,304.0431500113673,330.8574185997574,26.81426858839012,350.38,False,False,Winter,Extreme
2022-01-07,1,2022,bootstrap_clipped,0.9,304.0431500113673,330.8574185997574,26.81426858839012,350.38,False,True,Winter,Extreme
2022-01-07,1,2022,bootstrap_raw,0.95,302.42571820642024,334.59394488330076,32.16822667688052,350.38,False,False,Winter,Extreme
2022-01-07,1,2022,bootstrap_clipped,0.95,302.42571820642024,334.59394488330076,32.16822667688052,350.38,False,True,Winter,Extreme
2022-01-08,1,2022,bootstrap_raw,0.8,248.0401896168186,264.1309525654193,16.090762948600712,271.26,False,False,Winter,Extreme
2022-01-08,1,2022,bootstrap_clipped,0.8,248.0401896168186,264.1309525654193,16.090762948600712,271.26,False,True,Winter,Extreme
2022-01-08,1,2022,bootstrap_raw,0.9,244.87579395727388,265.42328761816674,20.547493660892854,271.26,False,False,Winter,Extreme
2022-01-08,1,2022,bootstrap_clipped,0.9,244.87579395727388,265.42328761816674,20.547493660892854,271.26,False,True,Winter,Extreme
2022-01-08,1,2022,bootstrap_raw,0.95,241.0866465239758,265.8370026977432,24.750356173767386,271.26,False,False,Winter,Extreme
2022-01-08,1,2022,bootstrap_clipped,0.95,241.0866465239758,265.8370026977432,24.750356173767386,271.26,False,True,Winter,Extreme
2022-01-09,1,2022,bootstrap_raw,0.8,246.60169575408307,266.61363337703966,20.011937622956594,272.98,False,False,Winter,Extreme
2022-01-09,1,2022,bootstrap_clipped,0.8,246.60169575408307,266.61363337703966,20.011937622956594,272.98,False,True,Winter,Extreme
2022-01-09,1,2022,bootstrap_raw,0.9,242.1466791384584,270.0640693642748,27.917390225816405,272.98,False,False,Winter,Extreme
2022-01-09,1,2022,bootstrap_clipped,0.9,242.1466791384584,270.0640693642748,27.917390225816405,272.98,False,True,Winter,Extreme
2022-01-09,1,2022,bootstrap_raw,0.95,237.18301349192862,271.7343640567904,34.55135056486179,272.98,False,False,Winter,Extreme
2022-01-09,1,2022,bootstrap_clipped,0.95,237.18301349192862,271.7343640567904,34.55135056486179,272.98,False,True,Winter,Extreme
2022-01-10,1,2022,bootstrap_raw,0.8,302.6432765425203,316.696485875082,14.053209332561664,276.96,False,False,Winter,Extreme
2022-01-10,1,2022,bootstrap_clipped,0.8,302.6432765425203,316.696485875082,14.053209332561664,276.96,False,True,Winter,Extreme
2022-01-10,1,2022,bootstrap_raw,0.9,301.2658254545145,318.2584909209834,16.99266546646885,276.96,False,False,Winter,Extreme
2022-01-10,1,2022,bootstrap_clipped,0.9,301.2658254545145,318.2584909209834,16.99266546646885,276.96,False,True,Winter,Extreme
2022-01-10,1,2022,bootstrap_raw,0.95,300.9455341591731,321.25312996061723,20.30759580144411,276.96,False,False,Winter,Extreme
2022-01-10,1,2022,bootstrap_clipped,0.95,300.9455341591731,321.25312996061723,20.30759580144411,276.96,False,True,Winter,Extreme
2022-01-11,1,2022,bootstrap_raw,0.8,289.5016699364363,312.2290272116329,22.727357275196596,357.67,False,False,Winter,Extreme
2022-01-11,1,2022,bootstrap_clipped,0.8,289.5016699364363,312.2290272116329,22.727357275196596,357.67,False,True,Winter,Extreme
2022-01-11,1,2022,bootstrap_raw,0.9,286.7176131885826,319.27396417910785,32.55635099052523,357.67,False,False,Winter,Extreme
2022-01-11,1,2022,bootstrap_clipped,0.9,286.7176131885826,319.27396417910785,32.55635099052523,357.67,False,True,Winter,Extreme
2022-01-11,1,2022,bootstrap_raw,0.95,282.2283990405879,319.94251486666775,37.714115826079876,357.67,False,False,Winter,Extreme
2022-01-11,1,2022,bootstrap_clipped,0.95,282.2283990405879,319.94251486666775,37.714115826079876,357.67,False,True,Winter,Extreme
2022-01-12,1,2022,bootstrap_raw,0.8,209.49882389013635,229.4219885943483,19.923164704211956,211.5,True,False,Winter,High
2022-01-12,1,2022,bootstrap_clipped,0.8,209.49882389013635,229.4219885943483,19.923164704211956,211.5,True,True,Winter,High
2022-01-12,1,2022,bootstrap_raw,0.9,208.80521841776894,232.01281541572314,23.207596997954198,211.5,True,False,Winter,High
2022-01-12,1,2022,bootstrap_clipped,0.9,208.80521841776894,232.01281541572314,23.207596997954198,211.5,True,True,Winter,High
2022-01-12,1,2022,bootstrap_raw,0.95,206.77201003415354,235.69375006738755,28.921740033234016,211.5,True,False,Winter,High
2022-01-12,1,2022,bootstrap_clipped,0.95,206.77201003415354,235.69375006738755,28.921740033234016,211.5,True,True,Winter,High
2022-01-13,1,2022,bootstrap_raw,0.8,327.9684566908379,348.6024673362287,20.634010645390788,351.68,False,False,Winter,Extreme
2022-01-13,1,2022,bootstrap_clipped,0.8,327.9684566908379,348.6024673362287,20.634010645390788,351.68,False,True,Winter,Extreme
2022-01-13,1,2022,bootstrap_raw,0.9,324.9715365226537,350.37680388343176,25.405267360778055,351.68,False,False,Winter,Extreme
2022-01-13,1,2022,bootstrap_clipped,0.9,324.9715365226537,350.37680388343176,25.405267360778055,351.68,False,True,Winter,Extreme
2022-01-13,1,2022,bootstrap_raw,0.95,323.50020550773326,351.5481009347871,28.047895427053845,351.68,False,False,Winter,Extreme
2022-01-13,1,2022,bootstrap_clipped,0.95,323.50020550773326,351.5481009347871,28.047895427053845,351.68,False,True,Winter,Extreme
2022-01-14,1,2022,bootstrap_raw,0.8,217.1368506984679,237.2226333706788,20.08578267221091,213.43,False,False,Winter,High
2022-01-14,1,2022,bootstrap_clipped,0.8,217.1368506984679,237.2226333706788,20.08578267221091,213.43,False,True,Winter,High
2022-01-14,1,2022,bootstrap_raw,0.9,214.73812496588542,237.75558907469735,23.017464108811936,213.43,False,False,Winter,High
2022-01-14,1,2022,bootstrap_clipped,0.9,214.73812496588542,237.75558907469735,23.017464108811936,213.43,False,True,Winter,High
2022-01-14,1,2022,bootstrap_raw,0.95,213.29705793808864,237.93000865021094,24.632950712122295,213.43,True,False,Winter,High
2022-01-14,1,2022,bootstrap_clipped,0.95,213.29705793808864,237.93000865021094,24.632950712122295,213.43,True,True,Winter,High
2022-01-15,1,2022,bootstrap_raw,0.8,343.6791474536411,358.8903638786478,15.211216425006683,341.99,False,False,Winter,Extreme
2022-01-15,1,2022,bootstrap_clipped,0.8,343.6791474536411,358.8903638786478,15.211216425006683,341.99,False,True,Winter,Extreme
2022-01-15,1,2022,bootstrap_raw,0.9,340.5790432873919,360.77080811224994,20.191764824858012,341.99,True,False,Winter,Extreme
2022-01-15,1,2022,bootstrap_clipped,0.9,340.5790432873919,360.77080811224994,20.191764824858012,341.99,True,True,Winter,Extreme
2022-01-15,1,2022,bootstrap_raw,0.95,337.2361439439064,362.87971402328355,25.643570079377128,341.99,True,False,Winter,Extreme
2022-01-15,1,2022,bootstrap_clipped,0.95,337.2361439439064,362.87971402328355,25.643570079377128,341.99,True,True,Winter,Extreme
2022-01-16,1,2022,bootstrap_raw,0.8,345.63955336697524,361.78909220247795,16.14953883550271,381.91,False,False,Winter,Extreme
2022-01-16,1,2022,bootstrap_clipped,0.8,345.63955336697524,361.78909220247795,16.14953883550271,381.91,False,True,Winter,Extreme
2022-01-16,1,2022,bootstrap_raw,0.9,344.99527967159236,363.10731965072364,18.112039979131282,381.91,False,False,Winter,Extreme
2022-01-16,1,2022,bootstrap_clipped,0.9,344.99527967159236,363.10731965072364,18.112039979131282,381.91,False,True,Winter,Extreme
2022-01-16,1,2022,bootstrap_raw,0.95,344.63068008442326,363.6915726265583,19.060892542135036,381.91,False,False,Winter,Extreme
2022-01-16,1,2022,bootstrap_clipped,0.95,344.63068008442326,363.6915726265583,19.060892542135036,381.91,False,True,Winter,Extreme
2022-01-17,1,2022,bootstrap_raw,0.8,169.7980409778308,188.4118058767771,18.6137648989463,188.72,False,False,Winter,High
2022-01-17,1,2022,bootstrap_clipped,0.8,169.7980409778308,188.4118058767771,18.6137648989463,188.72,False,True,Winter,High
2022-01-17,1,2022,bootstrap_raw,0.9,167.79735349944463,188.57149194108638,20.774138441641753,188.72,False,False,Winter,High
2022-01-17,1,2022,bootstrap_clipped,0.9,167.79735349944463,188.57149194108638,20.774138441641753,188.72,False,True,Winter,High
2022-01-17,1,2022,bootstrap_raw,0.95,166.03710726673182,188.69762060074842,22.6605133340166,188.72,False,False,Winter,High
2022-01-17,1,2022,bootstrap_clipped,0.95,166.03710726673182,188.69762060074842,22.6605133340166,188.72,False,True,Winter,High
2022-01-18,1,2022,bootstrap_raw,0.8,247.90648080788145,266.4240266415729,18.51754583369143,321.04,False,False,Winter,Extreme
2022-01-18,1,2022,bootstrap_clipped,0.8,247.90648080788145,266.4240266415729,18.51754583369143,321.04,False,True,Winter,Extreme
2022-01-18,1,2022,bootstrap_raw,0.9,242.40460818986972,269.3650630630067,26.960454873136968,321.04,False,False,Winter,Extreme
2022-01-18,1,2022,bootstrap_clipped,0.9,242.40460818986972,269.3650630630067,26.960454873136968,321.04,False,True,Winter,Extreme
2022-01-18,1,2022,bootstrap_raw,0.95,241.97646937521685,269.5961444302465,27.61967505502966,321.04,False,False,Winter,Extreme
2022-01-18,1,2022,bootstrap_clipped,0.95,241.97646937521685,269.5961444302465,27.61967505502966,321.04,False,True,Winter,Extreme
2022-01-19,1,2022,bootstrap_raw,0.8,279.72483761027735,305.22863885033365,25.503801240056305,285.2,True,False,Winter,Extreme
2022-01-19,1,2022,bootstrap_clipped,0.8,279.72483761027735,305.22863885033365,25.503801240056305,285.2,True,True,Winter,Extreme
2022-01-19,1,2022,bootstrap_raw,0.9,274.63941422319164,307.19901027510514,32.5595960519135,285.2,True,False,Winter,Extreme
