event_id,date,pm25,predicted_pm25,biomass_burning_shap,meteorology_shap,wind_ventilation_shap,pm25_persistence_shap,calendar_seasonal_shap
EVT_001,2020-01-10,318.41,285.5089811821427,-0.1348367926010048,3.305053923206726,1.3922675705419525,137.78396414013255,0.0
EVT_001,2020-01-11,335.83,288.6773566843312,-0.2405393465273794,4.003682479411102,0.9894665803832045,140.7622146302019,0.0
EVT_001,2020-01-12,331.67,288.58834639624683,-0.3273558833088431,3.562195750661268,1.076415645941326,141.11455854209078,0.0
EVT_002,2020-01-14,369.9,291.06187320974345,-0.4474954742947153,4.583287457279929,1.6513346183093451,142.11221426758658,0.0
EVT_003,2020-01-17,333.87,290.6692910348258,-0.384046789469459,3.5530651106795363,1.624461774813327,142.71327859794005,0.0
EVT_003,2020-01-18,378.5,291.6779841439382,-0.3424312654865578,3.2109456548136297,2.072797583947668,143.57413982980128,0.0
EVT_004,2020-01-23,347.3,287.30513961252706,-0.7417657512848227,1.1670813100984545,1.9051069172866864,141.8121847955647,0.0
EVT_005,2020-01-26,338.25,286.7980298462301,-0.8901591432872887,1.927641776164492,0.8528330730066603,141.74518179948396,0.0
EVT_006,2020-01-28,339.78,290.6251587926826,-1.4657186374087203,3.8648745076077495,1.119649517289717,143.94382106433156,0.0
EVT_006,2020-01-29,316.48,288.52911186709616,-0.7958359881133321,3.733853189617269,-0.1871003260242535,142.61566265075413,0.0
EVT_006,2020-01-30,394.76,289.5542661445347,-0.2241235078218008,2.399081538288991,0.4237328876071695,143.79304288559788,0.0
EVT_007,2020-11-01,362.87,239.683094325112,22.26570944680784,4.708292569408736,5.052535402688564,64.49402456534425,0.0
EVT_008,2020-11-03,332.54,284.6565018452564,9.023429809981888,1.92104868134104,1.797364163409536,128.75212684966132,0.0
EVT_009,2020-11-05,366.43,289.60894192205114,9.991806340007566,1.9120243220062776,3.107916437941067,131.43466248123372,0.0
EVT_010,2020-11-11,346.58,292.8815447217822,6.1381390113323,0.540147179811031,1.8785349975241317,141.16219119225235,0.0
EVT_010,2020-11-12,307.49,291.2416732912117,5.736584163154212,0.3971335559940822,2.0656713458682243,139.87975188533275,0.0
EVT_010,2020-11-13,371.52,287.34604889324424,5.86515816811184,-2.261974815665291,2.017751947731033,138.56258125220418,0.0
EVT_010,2020-11-14,350.01,283.7227667201741,5.033866048825615,-2.924422698909445,2.063232134350382,136.38755889504526,0.0
EVT_011,2020-11-17,338.52,291.5117087775554,5.529931246502067,0.5953768075117607,2.057965750280316,140.16590263239874,0.0
EVT_012,2020-11-20,319.78,287.1024993410432,5.668453533481176,0.4802968531667042,2.814152420677326,134.9770641928554,0.0
EVT_013,2020-11-24,336.02,290.57624188633946,5.06949062457231,0.4628110724034132,2.0832888593170438,139.79811898918433,0.0
EVT_013,2020-11-25,377.94,293.12732438497795,5.95154473053827,0.7521621522983684,1.6324349581358102,141.62865020314302,0.0
EVT_013,2020-11-26,386.82,293.0400193174627,6.539650215214798,0.937618968661958,1.773661252404594,140.62655654031906,0.0
EVT_013,2020-11-27,329.12,290.7651198800474,5.316018879105418,1.0033687583408988,2.169288952819663,139.11391094891908,0.0
EVT_014,2020-11-29,323.98,287.2061290787224,4.532240855713634,0.7024392115617285,0.5188795833636903,138.29003708722098,0.0
EVT_015,2020-12-01,364.62,290.8089953946496,4.3763496299525375,1.1168236859194771,1.7726657448634562,140.38062399305187,0.0
EVT_016,2020-12-03,351.96,289.3153974539757,3.866449225230664,1.1000173672742877,2.553083218203078,138.6333153024055,0.0
EVT_016,2020-12-04,338.21,288.91201483946594,3.900301108255428,0.9620833942342524,1.2046276131657276,139.682470382948,0.0
EVT_017,2020-12-06,372.63,289.5276337395842,3.7390516218285472,0.7417187234571969,1.6949911857600997,140.18933986767587,0.0
EVT_018,2020-12-08,322.8,288.85569594203173,3.487620359846148,0.7580395958463773,1.7582645317174457,139.68923911375938,0.0
EVT_019,2020-12-10,376.55,285.6685125401109,2.9334547233012334,-1.2919481104126942,1.6190826960388125,139.24539089032126,0.0
EVT_020,2020-12-13,364.21,285.84856044190366,0.6560689713333596,-0.8615608697799322,1.4895496708186264,141.40197032866928,0.0
EVT_020,2020-12-14,358.32,291.23701254985923,0.2958165756118835,1.3528618824318497,2.4236587637449096,144.00214298720823,0.0
EVT_021,2020-12-17,384.46,293.74915239147305,0.559767165557618,2.1885958137026744,3.0343208022661763,144.8039362690843,0.0
EVT_021,2020-12-18,323.08,290.7048638762799,0.1358872780395635,1.606993134736278,1.8726577896781984,143.9267933329636,0.0
EVT_021,2020-12-19,309.89,290.812716179854,0.3498717586409211,2.1690174383886425,1.254106052338155,143.8771885896241,0.0
EVT_022,2020-12-22,307.15,290.0514161837014,-0.3698044720096305,0.8484827309822397,1.6080965298752157,144.8021090539913,0.0
EVT_022,2020-12-23,369.63,288.43510652460367,-1.3910566030691542,0.6348459358473975,1.9273729417400487,144.10141190922317,0.0
EVT_023,2020-12-26,333.16,286.3602783287055,-0.6014668754896971,0.4567225793145206,1.29784404364991,142.04464624036834,0.0
EVT_024,2020-12-31,328.42,289.1837880217399,-0.5076251266691416,1.1524467911458776,-0.4856903933256245,145.86212440972648,0.0
EVT_025,2021-01-02,350.83,288.4954773553215,-1.6418252355299658,1.1597991809373325,1.1713249296035444,144.64364613944838,0.0
EVT_026,2021-01-06,362.63,290.19610921975584,-0.4605274306361929,1.7925897402782656,0.4743777761932579,145.2271367930582,0.0
EVT_027,2021-01-08,366.38,289.79529807482135,-0.4392462174232022,2.6429138168680537,-0.4172775241150449,144.84637565862928,0.0
EVT_027,2021-01-09,370.44,289.74994925553125,-0.4800990256091159,2.993710483749189,0.4461008862730628,143.62770457025584,0.0
EVT_028,2021-01-13,316.01,291.29592600333694,-0.5755900078048432,3.9783962108493234,-1.1069356114932574,145.83752307092342,0.0
EVT_029,2021-01-15,351.9,291.8547806393012,-0.479033649329606,4.580631961820636,-0.8123948907643813,145.40304487671233,0.0
EVT_029,2021-01-16,307.29,289.5933248756479,-0.1288161776888019,3.8769699398296846,-1.3234234247264751,144.00606219737102,0.0
EVT_030,2021-01-20,323.49,290.4340109634163,-0.5028519291209255,3.71307924086145,-0.2784782974474545,144.33972960826094,0.0
EVT_031,2021-01-22,365.01,290.4066866712954,-0.3090079187112652,4.31892371209686,-0.7985779764389248,144.03281651348652,0.0
EVT_031,2021-01-23,332.4,287.57575516912954,-0.9883118399864588,3.989476049453837,-1.403213925599169,142.8152725443988,0.0
EVT_032,2021-01-26,369.09,292.3411408798181,-0.185758660466211,5.370170115979456,-0.4139466591265347,144.40814374256908,0.0
EVT_032,2021-01-27,385.16,291.8553197557623,-0.5696404121918067,5.3919510649819165,-0.0841333943742654,143.9546101564841,0.0
EVT_033,2021-01-30,307.13,283.10543910501235,-1.239708925588631,2.6154630005812627,-1.4394661541613758,140.0066188433188,0.0
EVT_034,2021-11-03,366.71,281.2303382726481,6.098871172876379,1.3344787408696503,-0.252637397302517,130.88709341534215,0.0
EVT_035,2021-11-05,317.38,284.0150105378049,5.916515637150726,-1.1169648920305235,0.5725872082075458,135.4803402436147,0.0
EVT_035,2021-11-06,354.95,291.7275867004957,6.888186802227847,1.8734936702565097,0.862642039723087,138.94073184742575,0.0
EVT_035,2021-11-07,390.6,293.0642896298981,5.402603196860691,1.5948190544956231,-0.2184255000306947,143.12276053770995,0.0
EVT_036,2021-11-17,325.2,294.39210346396345,5.910924759956344,1.7364428877916431,0.3734960701104881,143.20870740524254,0.0
EVT_036,2021-11-18,368.41,295.62035061306665,5.922025764530706,1.33939143095674,1.5727959887787697,143.6236050879382,0.0
EVT_036,2021-11-19,354.14,294.43491715392213,5.918405958455965,1.5553943260978822,2.0343646311793164,141.76421989732663,0.0
EVT_036,2021-11-20,322.69,293.35377509518423,5.103682583587816,1.7581343607297333,1.6735888909611236,141.65583691904314,0.0
EVT_036,2021-11-21,342.25,291.74667340133544,5.032837341161653,1.1524757889084438,1.8351687458525772,140.56365918455032,0.0
EVT_036,2021-11-22,321.28,292.7938141215679,4.951276337358994,1.2433487257035152,2.0924097474869496,141.344246970156,0.0
