fold,train_years,test_year,model_name,feature_set,num_features,train_r2,test_r2,test_mae,test_rmse,test_medae,generalization_gap
2,2020-2022,2023,Ridge,Set_D_V2_Rainfall_PBL_Winds,159,0.8751,0.8495,30.1494,39.6975,22.5112,0.0257
3,2020-2023,2024,Ridge,Set_D_V2_Rainfall_PBL_Winds,159,0.8762,0.8496,27.2718,36.9728,19.6083,0.0266
1,2020-2021,2022,ElasticNet,Set_D_V2_Rainfall_PBL_Winds,159,0.8872,0.7656,33.9185,46.2327,23.8156,0.1215
2,2020-2022,2023,ElasticNet,Set_D_V2_Rainfall_PBL_Winds,159,0.8724,0.8563,29.2231,38.7912,21.0591,0.0161
3,2020-2023,2024,ElasticNet,Set_D_V2_Rainfall_PBL_Winds,159,0.874,0.851,27.0386,36.7962,18.7082,0.023
1,2020-2021,2022,RandomForest,Set_D_V2_Rainfall_PBL_Winds,159,0.9616,0.8301,28.6616,39.3661,21.1984,0.1315
2,2020-2022,2023,RandomForest,Set_D_V2_Rainfall_PBL_Winds,159,0.9519,0.8797,26.3703,35.4927,19.4361,0.0722
3,2020-2023,2024,RandomForest,Set_D_V2_Rainfall_PBL_Winds,159,0.9467,0.8542,27.0813,36.3964,19.8191,0.0925
1,2020-2021,2022,XGBoost,Set_D_V2_Rainfall_PBL_Winds,159,0.9687,0.8123,29.7012,41.3704,21.9776,0.1563
2,2020-2022,2023,XGBoost,Set_D_V2_Rainfall_PBL_Winds,159,0.9515,0.8701,27.1525,36.8851,19.499,0.0814
3,2020-2023,2024,XGBoost,Set_D_V2_Rainfall_PBL_Winds,159,0.9423,0.8359,28.2728,38.6103,20.8271,0.1064
1,2020-2021,2022,Persistence,Set_E_All_External_Groups,161,0.7698,0.71,35.2211,51.429,23.09,0.0598
2,2020-2022,2023,Persistence,Set_E_All_External_Groups,161,0.7518,0.7751,35.0352,48.5297,25.18,-0.0233
3,2020-2023,2024,Persistence,Set_E_All_External_Groups,161,0.758,0.748,34.388,47.8482,25.375,0.01
1,2020-2021,2022,Ridge,Set_E_All_External_Groups,161,0.9562,0.8609,28.3459,35.6154,23.8076,0.0952
2,2020-2022,2023,Ridge,Set_E_All_External_Groups,161,0.9477,0.9384,20.4105,25.3953,16.6122,0.0093
3,2020-2023,2024,Ridge,Set_E_All_External_Groups,161,0.9489,0.9313,19.983,24.9766,16.3144,0.0176
1,2020-2021,2022,ElasticNet,Set_E_All_External_Groups,161,0.9148,0.8156,30.4237,41.009,21.009,0.0992
2,2020-2022,2023,ElasticNet,Set_E_All_External_Groups,161,0.9039,0.8925,25.3101,33.5458,18.5915,0.0113
3,2020-2023,2024,ElasticNet,Set_E_All_External_Groups,161,0.9055,0.8893,23.4437,31.7189,16.4167,0.0162
1,2020-2021,2022,RandomForest,Set_E_All_External_Groups,161,0.9878,0.9397,18.0692,23.4598,14.6698,0.0482
2,2020-2022,2023,RandomForest,Set_E_All_External_Groups,161,0.9865,0.9589,16.3279,20.7531,14.2345,0.0276
3,2020-2023,2024,RandomForest,Set_E_All_External_Groups,161,0.9857,0.9472,17.2387,21.9094,14.1754,0.0386
1,2020-2021,2022,XGBoost,Set_E_All_External_Groups,161,0.9884,0.9364,18.5346,24.0834,14.4622,0.052
2,2020-2022,2023,XGBoost,Set_E_All_External_Groups,161,0.982,0.9585,16.1463,20.853,12.9641,0.0235
3,2020-2023,2024,XGBoost,Set_E_All_External_Groups,161,0.9801,0.9449,17.4036,22.3664,14.6343,0.0351
